,Period,Province,Product,Quantity
122,201701,EDİRNE,PRODUCT_C,156
123,201701,EDİRNE,PRODUCT_V,3
124,201701,EDİRNE,PRODUCT_X,71
125,201701,ELAZIĞ,PRODUCT_A,94
126,201701,ELAZIĞ,PRODUCT_B,2375
127,201701,ELAZIĞ,PRODUCT_C,303
128,201701,ELAZIĞ,PRODUCT_V,2
129,201701,ELAZIĞ,PRODUCT_X,65
130,201701,ERZURUM,PRODUCT_A,3
131,201701,ERZURUM,PRODUCT_B,2857
132,201701,ERZURUM,PRODUCT_C,460
133,201701,ERZURUM,PRODUCT_V,2
134,201701,ERZURUM,PRODUCT_X,112
135,201701,ERZİNCAN,PRODUCT_A,13
136,201701,ERZİNCAN,PRODUCT_B,16
137,201701,ERZİNCAN,PRODUCT_C,140
138,201701,ERZİNCAN,PRODUCT_V,0
139,201701,ERZİNCAN,PRODUCT_X,16
140,201701,ESKİŞEHİR,PRODUCT_A,88
141,201701,ESKİŞEHİR,PRODUCT_B,2967
142,201701,ESKİŞEHİR,PRODUCT_C,447
143,201701,ESKİŞEHİR,PRODUCT_V,34
144,201701,ESKİŞEHİR,PRODUCT_X,198
145,201701,GAZİANTEP,PRODUCT_A,280
146,201701,GAZİANTEP,PRODUCT_B,1718
147,201701,GAZİANTEP,PRODUCT_C,1069
148,201701,GAZİANTEP,PRODUCT_V,7
149,201701,GAZİANTEP,PRODUCT_X,1119
150,201701,GÜMÜŞHANE,PRODUCT_A,7
151,201701,GÜMÜŞHANE,PRODUCT_B,29
152,201701,GÜMÜŞHANE,PRODUCT_C,47
153,201701,GÜMÜŞHANE,PRODUCT_V,0
154,201701,GÜMÜŞHANE,PRODUCT_X,37
155,201701,GİRESUN,PRODUCT_A,122
156,201701,GİRESUN,PRODUCT_B,132
157,201701,GİRESUN,PRODUCT_C,90
158,201701,GİRESUN,PRODUCT_V,0
159,201701,GİRESUN,PRODUCT_X,89
160,201701,HAKKARİ,PRODUCT_A,8
161,201701,HAKKARİ,PRODUCT_B,32
162,201701,HAKKARİ,PRODUCT_C,64
163,201701,HAKKARİ,PRODUCT_V,0
164,201701,HAKKARİ,PRODUCT_X,0
165,201701,HATAY,PRODUCT_A,207
166,201701,HATAY,PRODUCT_B,2742
167,201701,HATAY,PRODUCT_C,583
168,201701,HATAY,PRODUCT_V,0
169,201701,HATAY,PRODUCT_X,399
170,201701,ISPARTA,PRODUCT_A,17
171,201701,ISPARTA,PRODUCT_B,586
172,201701,ISPARTA,PRODUCT_C,286
173,201701,ISPARTA,PRODUCT_V,0
174,201701,ISPARTA,PRODUCT_X,162
175,201701,IĞDIR,PRODUCT_A,-3
176,201701,IĞDIR,PRODUCT_B,726
177,201701,IĞDIR,PRODUCT_C,219
178,201701,IĞDIR,PRODUCT_V,0
179,201701,IĞDIR,PRODUCT_X,45
180,201701,KAHRAMANMARAŞ,PRODUCT_A,31
181,201701,KAHRAMANMARAŞ,PRODUCT_B,628
182,201701,KAHRAMANMARAŞ,PRODUCT_C,471
183,201701,KAHRAMANMARAŞ,PRODUCT_V,2
184,201701,KAHRAMANMARAŞ,PRODUCT_X,399
185,201701,KARABÜK,PRODUCT_A,26
186,201701,KARABÜK,PRODUCT_B,1749
187,201701,KARABÜK,PRODUCT_C,89
188,201701,KARABÜK,PRODUCT_V,0
