geoName,hastane randevu,Period
Adana,0.6270096463022508,201701
Adıyaman Province,0.5305466237942122,201701
Afyonkarahisar Province,0.8520900321543408,201701
Aksaray,0.8681672025723473,201701
Amasya Province,1.3665594855305465,201701
Ankara,0.7877813504823151,201701
Antalya,0.9163987138263665,201701
Ardahan Province,0.0,201701
Artvin,0.6591639871382636,201701
Aydın Province,0.8199356913183279,201701
Ağrı,0.6430868167202572,201701
Balıkesir Province,0.8199356913183279,201701
Bartın Province,1.0771704180064308,201701
Batman,0.2733118971061093,201701
Bayburt,1.237942122186495,201701
Bilecik,0.8199356913183279,201701
Bingöl Province,0.5948553054662379,201701
Bitlis,1.1093247588424437,201701
Bolu,1.1736334405144695,201701
Burdur Province,0.8199356913183279,201701
Bursa,0.8681672025723473,201701
Denizli,0.5948553054662379,201701
Diyarbakır,0.6430868167202572,201701
Düzce Province,0.67524115755627,201701
Edirne,0.932475884244373,201701
Elazığ,0.4983922829581993,201701
Erzincan,1.607717041800643,201701
Erzurum,0.5466237942122186,201701
Eskişehir Province,0.7717041800643086,201701
Gaziantep,0.4983922829581993,201701
Giresun,0.8199356913183279,201701
Gümüşhane,0.8360128617363344,201701
Hakkâri,0.7717041800643086,201701
Hatay,0.45016077170418006,201701
Isparta Province,0.5305466237942122,201701
Iğdır,0.8038585209003215,201701
Kahramanmaraş Province,0.8038585209003215,201701
Karabük,0.9163987138263665,201701
Karaman,1.1736334405144695,201701
Kars,0.8520900321543408,201701
Kastamonu,0.8681672025723473,201701
Kayseri Province,0.4662379421221865,201701
Kilis,0.6270096463022508,201701
Kocaeli,1.0289389067524115,201701
Konya,0.6270096463022508,201701
Kütahya,1.2861736334405145,201701
Kırklareli,0.9163987138263665,201701
Kırıkkale,0.5144694533762058,201701
Kırşehir,0.8199356913183279,201701
Malatya,0.6913183279742765,201701
Manisa,0.8199356913183279,201701
Mardin,0.4180064308681672,201701
Mersin Province,0.5787781350482315,201701
Muğla Province,0.9485530546623794,201701
Muş,0.932475884244373,201701
Nevşehir,0.28938906752411575,201701
Niğde,0.7556270096463023,201701
Ordu,1.0932475884244373,201701
Osmaniye,0.6591639871382636,201701
Rize,1.1897106109324758,201701
Sakarya,0.7717041800643086,201701
Samsun,1.0610932475884245,201701
Siirt Province,0.9967845659163986,201701
Sinop Province,0.9807073954983923,201701
Sivas,0.6591639871382636,201701
Tekirdağ,0.9163987138263665,201701
Tokat,1.2218649517684887,201701
Trabzon,1.0610932475884245,201701
Tunceli,1.3665594855305465,201701
Uşak,0.8199356913183279,201701
Van,0.8360128617363344,201701
Yalova Province,0.9163987138263665,201701
Yozgat,0.9003215434083601,201701
Zonguldak,0.8360128617363344,201701
Çanakkale Province,1.045016077170418,201701
Çankırı,0.8842443729903536,201701
Çorum Province,0.7395498392282958,201701
İstanbul,0.8842443729903536,201701
İzmir,1.0289389067524115,201701
Şanlıurfa Province,0.6109324758842444,201701
Şırnak,0.562700964630225,201701
Adana,0.2508710801393728,201702
Adıyaman Province,0.2229965156794425,201702
Afyonkarahisar Province,0.5017421602787456,201702
Aksaray,0.4738675958188153,201702
Amasya Province,0.4878048780487805,201702
Ankara,0.34843205574912894,201702
Antalya,0.45993031358885017,201702
Ardahan Province,0.0,201702
Artvin,0.3205574912891986,201702
Aydın Province,0.2787456445993031,201702
Ağrı,0.26480836236933797,201702
Balıkesir Province,0.40418118466898956,201702
Bartın Province,0.4181184668989547,201702
Batman,0.2787456445993031,201702
Bayburt,0.0,201702
Bilecik,0.7247386759581882,201702
Bingöl Province,0.5574912891986062,201702
Bitlis,0.5296167247386759,201702
Bolu,0.37630662020905925,201702
Burdur Province,0.1951219512195122,201702
Bursa,0.37630662020905925,201702
Denizli,0.2787456445993031,201702
Diyarbakır,0.2926829268292683,201702
Düzce Province,0.3205574912891986,201702
Edirne,0.3902439024390244,201702
Elazığ,0.2926829268292683,201702
Erzincan,0.8362369337979094,201702
Erzurum,0.1951219512195122,201702
Eskişehir Province,0.4181184668989547,201702
Gaziantep,0.2787456445993031,201702
Giresun,0.34843205574912894,201702
Gümüşhane,0.45993031358885017,201702
Hakkâri,0.3623693379790941,201702
Hatay,0.18118466898954705,201702
Isparta Province,0.3344947735191638,201702
Iğdır,0.37630662020905925,201702
Kahramanmaraş Province,0.3344947735191638,201702
Karabük,0.3344947735191638,201702
Karaman,0.4878048780487805,201702
Kars,0.5296167247386759,201702
Kastamonu,0.6411149825783972,201702
Kayseri Province,0.3205574912891986,201702
Kilis,0.627177700348432,201702
Kocaeli,0.5296167247386759,201702
Konya,0.2787456445993031,201702
Kütahya,0.9477351916376306,201702
Kırklareli,0.6968641114982579,201702
Kırıkkale,0.18118466898954705,201702
Kırşehir,0.5156794425087108,201702
Malatya,0.37630662020905925,201702
Manisa,0.3344947735191638,201702
Mardin,0.1951219512195122,201702
Mersin Province,0.30662020905923343,201702
Muğla Province,0.4181184668989547,201702
Muş,0.0,201702
Nevşehir,0.13937282229965156,201702
Niğde,0.2229965156794425,201702
Ordu,0.4181184668989547,201702
Osmaniye,0.2229965156794425,201702
Rize,0.6550522648083623,201702
Sakarya,0.4878048780487805,201702
Samsun,0.3902439024390244,201702
Siirt Province,0.4738675958188153,201702
Sinop Province,0.4878048780487805,201702
Sivas,0.3623693379790941,201702
Tekirdağ,0.2787456445993031,201702
Tokat,0.2926829268292683,201702
Trabzon,0.37630662020905925,201702
Tunceli,1.3937282229965158,201702
Uşak,0.45993031358885017,201702
Van,0.3205574912891986,201702
Yalova Province,0.2926829268292683,201702
Yozgat,0.4181184668989547,201702
Zonguldak,0.3344947735191638,201702
Çanakkale Province,0.6689895470383276,201702
