geoName,BioGaia,Period
Muş,0.0,201807
Nevşehir,0.0,201807
Niğde,0.0,201807
Ordu,0.0,201807
Osmaniye,0.0,201807
Rize,0.0,201807
Sakarya,2.0408163265306123,201807
Samsun,1.5918367346938775,201807
Siirt Province,0.0,201807
Sinop Province,0.0,201807
Sivas,0.0,201807
Tekirdağ,0.0,201807
Tokat,0.0,201807
Trabzon,0.0,201807
Tunceli,0.0,201807
Uşak,0.0,201807
Van,0.0,201807
Yalova Province,0.0,201807
Yozgat,0.0,201807
Zonguldak,2.0408163265306123,201807
Çanakkale Province,0.0,201807
Çankırı,0.0,201807
Çorum Province,0.0,201807
İstanbul,0.5918367346938775,201807
İzmir,0.46938775510204084,201807
Şanlıurfa Province,0.0,201807
Şırnak,0.0,201807
Adana,0.4,201808
Adıyaman Province,0.0,201808
Afyonkarahisar Province,0.0,201808
Aksaray,0.0,201808
Amasya Province,0.0,201808
Ankara,0.16923076923076924,201808
Antalya,0.09230769230769231,201808
Ardahan Province,0.0,201808
Artvin,0.0,201808
Aydın Province,0.36923076923076925,201808
Ağrı,0.0,201808
Balıkesir Province,0.0,201808
Bartın Province,0.0,201808
Batman,0.0,201808
Bayburt,0.0,201808
Bilecik,0.0,201808
Bingöl Province,0.0,201808
Bitlis,0.0,201808
Bolu,0.0,201808
Burdur Province,0.0,201808
Bursa,0.1076923076923077,201808
Denizli,0.4153846153846154,201808
Diyarbakır,0.0,201808
Düzce Province,0.0,201808
Edirne,0.0,201808
Elazığ,0.0,201808
Erzincan,0.0,201808
Erzurum,0.6923076923076923,201808
Eskişehir Province,0.0,201808
Gaziantep,0.2,201808
Giresun,0.0,201808
Gümüşhane,0.0,201808
Hakkâri,0.0,201808
Hatay,0.35384615384615387,201808
Isparta Province,0.9846153846153847,201808
Iğdır,0.0,201808
Kahramanmaraş Province,0.5692307692307692,201808
Karabük,0.0,201808
Karaman,0.0,201808
Kars,0.0,201808
Kastamonu,0.0,201808
Kayseri Province,0.7538461538461538,201808
Kilis,0.0,201808
Kocaeli,0.0,201808
Konya,0.2,201808
Kütahya,0.0,201808
Kırklareli,0.0,201808
Kırıkkale,0.0,201808
Kırşehir,0.0,201808
Malatya,0.0,201808
Manisa,0.5384615384615384,201808
Mardin,0.0,201808
Mersin Province,0.23076923076923078,201808
Muğla Province,0.24615384615384617,201808
Muş,0.0,201808
Nevşehir,0.0,201808
Niğde,0.0,201808
Ordu,0.0,201808
Osmaniye,0.0,201808
Rize,0.0,201808
Sakarya,0.4,201808
Samsun,0.5076923076923077,201808
Siirt Province,0.0,201808
Sinop Province,0.0,201808
Sivas,0.0,201808
Tekirdağ,0.7846153846153846,201808
Tokat,0.0,201808
Trabzon,0.0,201808
Tunceli,0.0,201808
Uşak,0.0,201808
Van,0.0,201808
Yalova Province,0.0,201808
Yozgat,0.0,201808
Zonguldak,1.5384615384615385,201808
Çanakkale Province,0.0,201808
Çankırı,0.0,201808
Çorum Province,0.0,201808
İstanbul,0.3076923076923077,201808
İzmir,0.2,201808
Şanlıurfa Province,0.0,201808
Şırnak,0.0,201808
Adana,0.5454545454545454,201809
Adıyaman Province,0.0,201809
Afyonkarahisar Province,0.0,201809
Aksaray,0.0,201809
Amasya Province,0.0,201809
Ankara,0.16363636363636364,201809
Antalya,0.32727272727272727,201809
Ardahan Province,0.0,201809
Artvin,0.0,201809
Aydın Province,0.0,201809
Ağrı,0.0,201809
Balıkesir Province,0.0,201809
Bartın Province,0.0,201809
Batman,0.0,201809
Bayburt,0.0,201809
Bilecik,0.0,201809
Bingöl Province,0.0,201809
Bitlis,0.0,201809
Bolu,0.0,201809
Burdur Province,0.0,201809
Bursa,0.32727272727272727,201809
Denizli,0.4909090909090909,201809
Diyarbakır,0.5818181818181818,201809
Düzce Province,0.0,201809
Edirne,0.0,201809
Elazığ,0.0,201809
Erzincan,0.0,201809
Erzurum,0.8181818181818182,201809
Eskişehir Province,0.4909090909090909,201809
Gaziantep,0.7454545454545455,201809
Giresun,0.0,201809
Gümüşhane,0.0,201809
Hakkâri,0.0,201809
Hatay,0.41818181818181815,201809
Isparta Province,0.0,201809
Iğdır,0.0,201809
Kahramanmaraş Province,0.6909090909090909,201809
Karabük,0.0,201809
Karaman,0.0,201809
Kars,0.0,201809
Kastamonu,0.0,201809
Kayseri Province,0.4909090909090909,201809
Kilis,0.0,201809
Kocaeli,0.21818181818181817,201809
Konya,0.32727272727272727,201809
Kütahya,0.0,201809
Kırklareli,0.0,201809
Kırıkkale,0.0,201809
Kırşehir,0.0,201809
Malatya,0.0,201809
Manisa,0.6181818181818182,201809
Mardin,0.0,201809
Mersin Province,0.0,201809
Muğla Province,0.8363636363636363,201809
Muş,0.0,201809
Nevşehir,0.0,201809
Niğde,0.0,201809
Ordu,0.0,201809
Osmaniye,0.0,201809
Rize,0.0,201809
Sakarya,0.9454545454545454,201809
Samsun,0.8363636363636363,201809
Siirt Province,0.0,201809
Sinop Province,0.0,201809
Sivas,0.0,201809
Tekirdağ,0.4727272727272727,201809
Tokat,0.0,201809
Trabzon,0.0,201809
Tunceli,0.0,201809
Uşak,0.0,201809
Van,1.5818181818181818,201809
Yalova Province,0.0,201809
Yozgat,0.0,201809
Zonguldak,1.8181818181818181,201809
Çanakkale Province,0.0,201809
Çankırı,0.0,201809
Çorum Province,0.0,201809
İstanbul,0.21818181818181817,201809
İzmir,0.2,201809
Şanlıurfa Province,0.0,201809
Şırnak,0.0,201809
Adana,0.4020100502512563,201810
Adıyaman Province,0.0,201810
Afyonkarahisar Province,0.0,201810
Aksaray,0.0,201810
Amasya Province,0.0,201810
Ankara,0.542713567839196,201810
Antalya,0.4623115577889447,201810
Ardahan Province,0.0,201810
Artvin,0.0,201810
Aydın Province,0.964824120603015,201810
Ağrı,0.0,201810
Balıkesir Province,0.8844221105527639,201810
Bartın Province,0.0,201810
Batman,0.0,201810
Bayburt,0.0,201810
Bilecik,0.0,201810
Bingöl Province,0.0,201810
Bitlis,0.0,201810
Bolu,0.0,201810
Burdur Province,0.0,201810
Bursa,0.5025125628140703,201810
Denizli,0.9447236180904522,201810
Diyarbakır,0.9246231155778895,201810
Düzce Province,0.0,201810
Edirne,0.0,201810
Elazığ,0.0,201810
Erzincan,0.0,201810
Erzurum,0.0,201810
Eskişehir Province,0.8844221105527639,201810
Gaziantep,0.8040201005025126,201810
Giresun,0.0,201810
Gümüşhane,0.0,201810
Hakkâri,0.0,201810
Hatay,0.0,201810
Isparta Province,2.0100502512562812,201810
Iğdır,0.0,201810
Kahramanmaraş Province,1.3668341708542713,201810
Karabük,0.0,201810
Karaman,0.0,201810
Kars,0.0,201810
Kastamonu,0.0,201810
Kayseri Province,0.6633165829145728,201810
Kilis,0.0,201810
Kocaeli,0.4221105527638191,201810
Konya,0.6834170854271356,201810
Kütahya,0.0,201810
Kırklareli,0.0,201810
Kırıkkale,0.0,201810
Kırşehir,0.0,201810
Malatya,0.0,201810
Manisa,1.6482412060301508,201810
Mardin,0.0,201810
Mersin Province,0.5829145728643216,201810
Muğla Province,0.7638190954773869,201810
Muş,0.0,201810
Nevşehir,0.0,201810
Niğde,0.0,201810
Ordu,0.0,201810
Osmaniye,0.0,201810
Rize,0.0,201810
Sakarya,0.8844221105527639,201810
Samsun,1.0251256281407035,201810
Siirt Province,0.0,201810
Sinop Province,0.0,201810
Sivas,0.0,201810
Tekirdağ,0.9447236180904522,201810
Tokat,0.0,201810
Trabzon,0.0,201810
Tunceli,0.0,201810
Uşak,0.0,201810
Van,0.0,201810
Yalova Province,0.0,201810
Yozgat,0.0,201810
Zonguldak,0.0,201810
Çanakkale Province,0.0,201810
Çankırı,0.0,201810
Çorum Province,0.0,201810
İstanbul,0.44221105527638194,201810
İzmir,0.6432160804020101,201810
Şanlıurfa Province,0.8442211055276382,201810
Şırnak,0.0,201810
Adana,0.13688212927756654,201811
Adıyaman Province,0.0,201811
Afyonkarahisar Province,0.0,201811
Aksaray,0.0,201811
Amasya Province,0.0,201811
Ankara,0.2737642585551331,201811
Antalya,0.19771863117870722,201811
Ardahan Province,0.0,201811
Artvin,0.0,201811
Aydın Province,0.5779467680608364,201811
Ağrı,0.0,201811
Balıkesir Province,0.7604562737642585,201811
Bartın Province,0.0,201811
Batman,0.0,201811
Bayburt,0.0,201811
Bilecik,0.0,201811
Bingöl Province,0.0,201811
Bitlis,0.0,201811
Bolu,0.0,201811
Burdur Province,0.0,201811
Bursa,0.3041825095057034,201811
Denizli,0.0,201811
Diyarbakır,0.3650190114068441,201811
Düzce Province,0.0,201811
Edirne,0.0,201811
Elazığ,0.0,201811
Erzincan,0.0,201811
Erzurum,1.520912547528517,201811
Eskişehir Province,0.0,201811
Gaziantep,0.33460076045627374,201811
Giresun,0.0,201811
Gümüşhane,0.0,201811
Hakkâri,0.0,201811
Hatay,0.0,201811
Isparta Province,0.0,201811
Iğdır,0.0,201811
Kahramanmaraş Province,0.8060836501901141,201811
Karabük,0.0,201811
Karaman,0.0,201811
Kars,0.0,201811
Kastamonu,0.0,201811
Kayseri Province,0.0,201811
Kilis,0.0,201811
Kocaeli,0.7908745247148289,201811
Konya,0.39543726235741444,201811
Kütahya,0.0,201811
Kırklareli,0.0,201811
Kırıkkale,0.0,201811
Kırşehir,0.0,201811
Malatya,0.0,201811
Manisa,0.7452471482889734,201811
Mardin,0.0,201811
Mersin Province,0.6996197718631179,201811
Muğla Province,1.0190114068441065,201811
Muş,0.0,201811
Nevşehir,0.0,201811
Niğde,0.0,201811
Ordu,0.0,201811
Osmaniye,0.0,201811
Rize,0.0,201811
Sakarya,0.5171102661596958,201811
Samsun,0.0,201811
Siirt Province,0.0,201811
Sinop Province,0.0,201811
Sivas,0.0,201811
Tekirdağ,0.532319391634981,201811
Tokat,0.0,201811
Trabzon,0.0,201811
Tunceli,0.0,201811
Uşak,0.0,201811
Van,0.0,201811
Yalova Province,0.0,201811
Yozgat,0.0,201811
Zonguldak,0.9885931558935361,201811
Çanakkale Province,0.0,201811
Çankırı,0.0,201811
Çorum Province,0.0,201811
İstanbul,0.3650190114068441,201811
İzmir,0.2737642585551331,201811
Şanlıurfa Province,0.0,201811
Şırnak,0.0,201811
Adana,0.6208053691275167,201812
Adıyaman Province,0.0,201812
Afyonkarahisar Province,0.0,201812
Aksaray,0.0,201812
Amasya Province,0.0,201812
Ankara,0.3523489932885906,201812
Antalya,0.436241610738255,201812
Ardahan Province,0.0,201812
Artvin,0.0,201812
Aydın Province,0.6879194630872483,201812
Ağrı,0.0,201812
Balıkesir Province,0.6040268456375839,201812
Bartın Province,0.0,201812
Batman,0.0,201812
Bayburt,0.0,201812
Bilecik,0.0,201812
Bingöl Province,0.0,201812
Bitlis,0.0,201812
Bolu,0.0,201812
Burdur Province,0.0,201812
Bursa,0.33557046979865773,201812
Denizli,0.0,201812
Diyarbakır,0.3859060402684564,201812
Düzce Province,0.0,201812
Edirne,0.0,201812
Elazığ,0.0,201812
Erzincan,0.0,201812
Erzurum,1.023489932885906,201812
Eskişehir Province,0.9228187919463087,201812
Gaziantep,1.023489932885906,201812
Giresun,0.0,201812
Gümüşhane,0.0,201812
Hakkâri,0.0,201812
Hatay,1.1241610738255032,201812
Isparta Province,1.3758389261744965,201812
Iğdır,0.0,201812
Kahramanmaraş Province,0.9060402684563759,201812
Karabük,0.0,201812
Karaman,0.0,201812
Kars,0.0,201812
Kastamonu,0.0,201812
Kayseri Province,0.7214765100671141,201812
Kilis,0.0,201812
Kocaeli,0.3859060402684564,201812
Konya,0.9228187919463087,201812
Kütahya,1.3926174496644295,201812
Kırklareli,0.0,201812
Kırıkkale,0.0,201812
Kırşehir,0.0,201812
Malatya,0.0,201812
Manisa,1.6778523489932886,201812
Mardin,0.0,201812
Mersin Province,0.5369127516778524,201812
Muğla Province,0.0,201812
Muş,0.0,201812
Nevşehir,0.0,201812
Niğde,0.0,201812
Ordu,0.0,201812
Osmaniye,0.0,201812
Rize,0.0,201812
Sakarya,0.6375838926174496,201812
Samsun,0.0,201812
Siirt Province,0.0,201812
Sinop Province,0.0,201812
Sivas,0.0,201812
Tekirdağ,0.6375838926174496,201812
Tokat,0.0,201812
Trabzon,0.0,201812
Tunceli,0.0,201812
Uşak,0.0,201812
Van,1.4093959731543624,201812
Yalova Province,0.0,201812
Yozgat,0.0,201812
Zonguldak,0.0,201812
Çanakkale Province,0.0,201812
Çankırı,0.0,201812
Çorum Province,0.0,201812
İstanbul,0.36912751677852346,201812
İzmir,0.3187919463087248,201812
Şanlıurfa Province,1.1073825503355705,201812
Şırnak,0.0,201812
Adana,0.3333333333333333,201901
Adıyaman Province,0.0,201901
Afyonkarahisar Province,0.0,201901
Aksaray,0.0,201901
