geoName,üroloji randevu,Period
Bingöl Province,0.0,201708
Bitlis,0.0,201708
Bolu,0.0,201708
Burdur Province,0.0,201708
Bursa,2.8846153846153846,201708
Denizli,0.0,201708
Diyarbakır,0.0,201708
Düzce Province,0.0,201708
Edirne,0.0,201708
Elazığ,0.0,201708
Erzincan,0.0,201708
Erzurum,0.0,201708
Eskişehir Province,0.0,201708
Gaziantep,0.0,201708
Giresun,0.0,201708
Gümüşhane,0.0,201708
Hakkâri,0.0,201708
Hatay,0.0,201708
Isparta Province,0.0,201708
Iğdır,0.0,201708
Kahramanmaraş Province,0.0,201708
Karabük,0.0,201708
Karaman,0.0,201708
Kars,0.0,201708
Kastamonu,0.0,201708
Kayseri Province,0.0,201708
Kilis,0.0,201708
Kocaeli,0.0,201708
Konya,0.0,201708
Kütahya,0.0,201708
Kırklareli,0.0,201708
Kırıkkale,0.0,201708
Kırşehir,0.0,201708
Malatya,0.0,201708
Manisa,0.0,201708
Mardin,0.0,201708
Mersin Province,0.0,201708
Muğla Province,0.0,201708
Muş,0.0,201708
Nevşehir,0.0,201708
Niğde,0.0,201708
Ordu,0.0,201708
Osmaniye,0.0,201708
Rize,0.0,201708
Sakarya,0.0,201708
Samsun,0.0,201708
Siirt Province,0.0,201708
Sinop Province,0.0,201708
Sivas,0.0,201708
Tekirdağ,0.0,201708
Tokat,0.0,201708
Trabzon,0.0,201708
Tunceli,0.0,201708
Uşak,0.0,201708
Van,0.0,201708
Yalova Province,0.0,201708
Yozgat,0.0,201708
Zonguldak,0.0,201708
Çanakkale Province,0.0,201708
Çankırı,0.0,201708
Çorum Province,0.0,201708
İstanbul,2.230769230769231,201708
İzmir,3.230769230769231,201708
Şanlıurfa Province,0.0,201708
Şırnak,0.0,201708
Adana,0.0,201709
Adıyaman Province,0.0,201709
Afyonkarahisar Province,0.0,201709
Aksaray,0.0,201709
Amasya Province,0.0,201709
Ankara,0.8857142857142857,201709
Antalya,1.1142857142857143,201709
Ardahan Province,0.0,201709
Artvin,0.0,201709
Aydın Province,0.0,201709
Ağrı,0.0,201709
Balıkesir Province,0.0,201709
Bartın Province,0.0,201709
Batman,0.0,201709
Bayburt,0.0,201709
Bilecik,0.0,201709
Bingöl Province,0.0,201709
Bitlis,0.0,201709
Bolu,0.0,201709
Burdur Province,0.0,201709
Bursa,2.4,201709
Denizli,0.0,201709
Diyarbakır,0.0,201709
Düzce Province,0.0,201709
Edirne,0.0,201709
Elazığ,0.0,201709
Erzincan,0.0,201709
Erzurum,0.0,201709
Eskişehir Province,0.0,201709
Gaziantep,0.0,201709
Giresun,0.0,201709
Gümüşhane,0.0,201709
Hakkâri,0.0,201709
Hatay,0.0,201709
Isparta Province,0.0,201709
Iğdır,0.0,201709
Kahramanmaraş Province,0.0,201709
Karabük,0.0,201709
Karaman,0.0,201709
Kars,0.0,201709
Kastamonu,0.0,201709
Kayseri Province,0.0,201709
Kilis,0.0,201709
Kocaeli,0.0,201709
Konya,0.0,201709
Kütahya,0.0,201709
Kırklareli,0.0,201709
Kırıkkale,0.0,201709
Kırşehir,0.0,201709
Malatya,0.0,201709
Manisa,0.0,201709
Mardin,0.0,201709
Mersin Province,0.0,201709
Muğla Province,0.0,201709
Muş,0.0,201709
Nevşehir,0.0,201709
Niğde,0.0,201709
Ordu,0.0,201709
Osmaniye,0.0,201709
Rize,0.0,201709
Sakarya,0.0,201709
Samsun,0.0,201709
Siirt Province,0.0,201709
Sinop Province,0.0,201709
Sivas,0.0,201709
Tekirdağ,0.0,201709
Tokat,0.0,201709
Trabzon,0.0,201709
Tunceli,0.0,201709
Uşak,0.0,201709
Van,0.0,201709
Yalova Province,0.0,201709
Yozgat,0.0,201709
Zonguldak,0.0,201709
Çanakkale Province,0.0,201709
Çankırı,0.0,201709
Çorum Province,0.0,201709
İstanbul,0.7714285714285715,201709
İzmir,2.857142857142857,201709
Şanlıurfa Province,0.0,201709
Şırnak,0.0,201709
Adana,0.0,201710
Adıyaman Province,0.0,201710
Afyonkarahisar Province,0.0,201710
Aksaray,0.0,201710
Amasya Province,0.0,201710
Ankara,1.8954248366013071,201710
Antalya,1.9281045751633985,201710
Ardahan Province,0.0,201710
Artvin,0.0,201710
Aydın Province,0.0,201710
Ağrı,0.0,201710
Balıkesir Province,0.0,201710
Bartın Province,0.0,201710
Batman,0.0,201710
Bayburt,0.0,201710
Bilecik,0.0,201710
Bingöl Province,0.0,201710
Bitlis,0.0,201710
Bolu,0.0,201710
Burdur Province,0.0,201710
Bursa,3.2679738562091503,201710
Denizli,0.0,201710
Diyarbakır,0.0,201710
Düzce Province,0.0,201710
Edirne,0.0,201710
Elazığ,0.0,201710
Erzincan,0.0,201710
Erzurum,0.0,201710
Eskişehir Province,0.0,201710
Gaziantep,0.0,201710
Giresun,0.0,201710
Gümüşhane,0.0,201710
Hakkâri,0.0,201710
Hatay,0.0,201710
Isparta Province,0.0,201710
Iğdır,0.0,201710
Kahramanmaraş Province,0.0,201710
Karabük,0.0,201710
Karaman,0.0,201710
Kars,0.0,201710
Kastamonu,0.0,201710
Kayseri Province,0.0,201710
Kilis,0.0,201710
Kocaeli,0.0,201710
Konya,0.0,201710
Kütahya,0.0,201710
Kırklareli,0.0,201710
Kırıkkale,0.0,201710
Kırşehir,0.0,201710
Malatya,0.0,201710
Manisa,0.0,201710
Mardin,0.0,201710
Mersin Province,0.0,201710
Muğla Province,0.0,201710
Muş,0.0,201710
Nevşehir,0.0,201710
Niğde,0.0,201710
Ordu,0.0,201710
Osmaniye,0.0,201710
Rize,0.0,201710
Sakarya,0.0,201710
Samsun,0.0,201710
Siirt Province,0.0,201710
Sinop Province,0.0,201710
Sivas,0.0,201710
Tekirdağ,0.0,201710
Tokat,0.0,201710
Trabzon,0.0,201710
Tunceli,0.0,201710
Uşak,0.0,201710
Van,0.0,201710
Yalova Province,0.0,201710
Yozgat,0.0,201710
Zonguldak,0.0,201710
Çanakkale Province,0.0,201710
Çankırı,0.0,201710
Çorum Province,0.0,201710
İstanbul,1.4379084967320261,201710
İzmir,1.4052287581699345,201710
Şanlıurfa Province,0.0,201710
Şırnak,0.0,201710
Adana,0.0,201711
Adıyaman Province,0.0,201711
Afyonkarahisar Province,0.0,201711
Aksaray,0.0,201711
Amasya Province,0.0,201711
Ankara,1.0886075949367089,201711
Antalya,1.3417721518987342,201711
Ardahan Province,0.0,201711
Artvin,0.0,201711
Aydın Province,0.0,201711
Ağrı,0.0,201711
Balıkesir Province,0.0,201711
Bartın Province,0.0,201711
Batman,0.0,201711
Bayburt,0.0,201711
Bilecik,0.0,201711
Bingöl Province,0.0,201711
Bitlis,0.0,201711
Bolu,0.0,201711
Burdur Province,0.0,201711
Bursa,2.5316455696202533,201711
Denizli,0.0,201711
Diyarbakır,0.0,201711
Düzce Province,0.0,201711
Edirne,0.0,201711
Elazığ,0.0,201711
Erzincan,0.0,201711
Erzurum,0.0,201711
Eskişehir Province,0.0,201711
Gaziantep,0.0,201711
Giresun,0.0,201711
Gümüşhane,0.0,201711
Hakkâri,0.0,201711
Hatay,0.0,201711
Isparta Province,0.0,201711
Iğdır,0.0,201711
Kahramanmaraş Province,0.0,201711
Karabük,0.0,201711
Karaman,0.0,201711
Kars,0.0,201711
Kastamonu,0.0,201711
Kayseri Province,0.0,201711
Kilis,0.0,201711
Kocaeli,0.0,201711
Konya,0.0,201711
Kütahya,0.0,201711
Kırklareli,0.0,201711
Kırıkkale,0.0,201711
Kırşehir,0.0,201711
Malatya,0.0,201711
Manisa,0.0,201711
Mardin,0.0,201711
Mersin Province,0.0,201711
Muğla Province,0.0,201711
Muş,0.0,201711
Nevşehir,0.0,201711
Niğde,0.0,201711
Ordu,0.0,201711
Osmaniye,0.0,201711
Rize,0.0,201711
Sakarya,0.0,201711
Samsun,0.0,201711
Siirt Province,0.0,201711
Sinop Province,0.0,201711
Sivas,0.0,201711
Tekirdağ,0.0,201711
Tokat,0.0,201711
Trabzon,0.0,201711
Tunceli,0.0,201711
Uşak,0.0,201711
Van,0.0,201711
Yalova Province,0.0,201711
Yozgat,0.0,201711
Zonguldak,0.0,201711
Çanakkale Province,0.0,201711
Çankırı,0.0,201711
Çorum Province,0.0,201711
İstanbul,1.2151898734177216,201711
İzmir,2.5063291139240507,201711
Şanlıurfa Province,0.0,201711
Şırnak,0.0,201711
Adana,0.0,201712
Adıyaman Province,0.0,201712
Afyonkarahisar Province,0.0,201712
Aksaray,0.0,201712
Amasya Province,0.0,201712
Ankara,0.594059405940594,201712
Antalya,1.4851485148514851,201712
Ardahan Province,0.0,201712
Artvin,0.0,201712
Aydın Province,0.0,201712
Ağrı,0.0,201712
Balıkesir Province,0.0,201712
Bartın Province,0.0,201712
Batman,0.0,201712
Bayburt,0.0,201712
Bilecik,0.0,201712
Bingöl Province,0.0,201712
Bitlis,0.0,201712
Bolu,0.0,201712
Burdur Province,0.0,201712
Bursa,2.4752475247524752,201712
Denizli,0.0,201712
Diyarbakır,0.0,201712
Düzce Province,0.0,201712
Edirne,0.0,201712
Elazığ,0.0,201712
Erzincan,0.0,201712
Erzurum,0.0,201712
Eskişehir Province,0.0,201712
Gaziantep,0.0,201712
Giresun,0.0,201712
Gümüşhane,0.0,201712
Hakkâri,0.0,201712
Hatay,0.0,201712
Isparta Province,0.0,201712
Iğdır,0.0,201712
Kahramanmaraş Province,0.0,201712
Karabük,0.0,201712
Karaman,0.0,201712
Kars,0.0,201712
Kastamonu,0.0,201712
Kayseri Province,0.0,201712
Kilis,0.0,201712
