geoName,ilaç,Period
Adana,1.0576923076923077,201701
Adıyaman Province,0.4567307692307692,201701
Afyonkarahisar Province,0.9615384615384615,201701
Aksaray,1.033653846153846,201701
Amasya Province,1.0096153846153846,201701
Ankara,1.1778846153846154,201701
Antalya,1.1057692307692308,201701
Ardahan Province,1.3942307692307692,201701
Artvin,0.7451923076923077,201701
Aydın Province,0.985576923076923,201701
Ağrı,1.2980769230769231,201701
Balıkesir Province,1.033653846153846,201701
Bartın Province,1.25,201701
Batman,0.9134615384615384,201701
Bayburt,2.0913461538461537,201701
Bilecik,1.346153846153846,201701
Bingöl Province,1.5384615384615383,201701
Bitlis,0.6490384615384616,201701
Bolu,0.9134615384615384,201701
Burdur Province,0.7211538461538461,201701
Bursa,0.9615384615384615,201701
Denizli,0.9615384615384615,201701
Diyarbakır,0.9375,201701
Düzce Province,0.6971153846153846,201701
Edirne,1.346153846153846,201701
Elazığ,1.033653846153846,201701
Erzincan,0.7932692307692307,201701
Erzurum,1.2259615384615383,201701
Eskişehir Province,1.25,201701
Gaziantep,0.8173076923076923,201701
Giresun,0.9134615384615384,201701
Gümüşhane,0.7451923076923077,201701
Hakkâri,0.673076923076923,201701
Hatay,0.8173076923076923,201701
Isparta Province,0.625,201701
Iğdır,1.033653846153846,201701
Kahramanmaraş Province,1.0576923076923077,201701
Karabük,0.7451923076923077,201701
Karaman,0.8653846153846153,201701
Kars,0.9375,201701
Kastamonu,0.6490384615384616,201701
Kayseri Province,0.9134615384615384,201701
Kilis,1.1057692307692308,201701
Kocaeli,1.1298076923076923,201701
Konya,0.9134615384615384,201701
Kütahya,0.9615384615384615,201701
Kırklareli,1.1057692307692308,201701
Kırıkkale,0.8894230769230769,201701
Kırşehir,0.985576923076923,201701
Malatya,1.3221153846153846,201701
Manisa,1.2980769230769231,201701
Mardin,0.7692307692307692,201701
Mersin Province,1.0576923076923077,201701
Muğla Province,1.0096153846153846,201701
Muş,1.7788461538461537,201701
Nevşehir,0.985576923076923,201701
Niğde,0.985576923076923,201701
Ordu,0.8173076923076923,201701
Osmaniye,0.8413461538461539,201701
Rize,1.4182692307692306,201701
Sakarya,0.985576923076923,201701
Samsun,1.0817307692307692,201701
Siirt Province,0.7211538461538461,201701
Sinop Province,2.019230769230769,201701
Sivas,0.8894230769230769,201701
Tekirdağ,1.4182692307692306,201701
Tokat,1.1538461538461537,201701
Trabzon,0.9134615384615384,201701
Tunceli,2.4038461538461537,201701
Uşak,0.7692307692307692,201701
Van,1.25,201701
