geoName,vitamin,Period
Adana,0.5450236966824644,201701
Adıyaman Province,0.5924170616113744,201701
Afyonkarahisar Province,0.3554502369668246,201701
Aksaray,0.42654028436018954,201701
Amasya Province,0.33175355450236965,201701
Ankara,0.6398104265402843,201701
Antalya,0.6398104265402843,201701
Ardahan Province,1.824644549763033,201701
Artvin,0.7345971563981042,201701
Aydın Province,0.5924170616113744,201701
Ağrı,0.3554502369668246,201701
Balıkesir Province,0.5924170616113744,201701
Bartın Province,0.42654028436018954,201701
Batman,0.3791469194312796,201701
Bayburt,1.4218009478672984,201701
Bilecik,0.4739336492890995,201701
Bingöl Province,0.0,201701
Bitlis,0.0,201701
Bolu,0.5213270142180094,201701
Burdur Province,0.924170616113744,201701
Bursa,0.4739336492890995,201701
Denizli,0.45023696682464454,201701
Diyarbakır,0.42654028436018954,201701
Düzce Province,0.2843601895734597,201701
Edirne,0.4739336492890995,201701
Elazığ,0.2606635071090047,201701
Erzincan,0.5687203791469194,201701
Erzurum,0.2606635071090047,201701
Eskişehir Province,0.7582938388625592,201701
Gaziantep,0.42654028436018954,201701
Giresun,0.2843601895734597,201701
Gümüşhane,0.0,201701
Hakkâri,0.0,201701
Hatay,0.45023696682464454,201701
Isparta Province,0.4739336492890995,201701
Iğdır,0.0,201701
Kahramanmaraş Province,0.30805687203791465,201701
Karabük,0.45023696682464454,201701
Karaman,0.5687203791469194,201701
Kars,0.8056872037914692,201701
Kastamonu,0.5450236966824644,201701
Kayseri Province,0.3791469194312796,201701
Kilis,2.1800947867298577,201701
Kocaeli,0.5924170616113744,201701
Konya,0.4739336492890995,201701
Kütahya,0.45023696682464454,201701
Kırklareli,0.7819905213270142,201701
Kırıkkale,0.7582938388625592,201701
Kırşehir,0.3554502369668246,201701
Malatya,0.7345971563981042,201701
Manisa,0.4976303317535545,201701
Mardin,0.30805687203791465,201701
Mersin Province,0.45023696682464454,201701
Muğla Province,0.4739336492890995,201701
Muş,0.0,201701
Nevşehir,0.23696682464454974,201701
Niğde,0.8530805687203791,201701
Ordu,0.45023696682464454,201701
Osmaniye,0.6161137440758293,201701
Rize,0.4028436018957346,201701
Sakarya,0.4976303317535545,201701
Samsun,0.4739336492890995,201701
Siirt Province,0.5687203791469194,201701
Sinop Province,0.42654028436018954,201701
Sivas,0.5687203791469194,201701
Tekirdağ,0.5450236966824644,201701
Tokat,0.2606635071090047,201701
Trabzon,0.5213270142180094,201701
Tunceli,2.3696682464454977,201701
Uşak,0.30805687203791465,201701
Van,0.4028436018957346,201701
Yalova Province,0.5450236966824644,201701
Yozgat,0.6398104265402843,201701
Zonguldak,0.5450236966824644,201701
Çanakkale Province,0.3791469194312796,201701
Çankırı,0.4976303317535545,201701
Çorum Province,0.4976303317535545,201701
İstanbul,0.6635071090047393,201701
İzmir,0.5687203791469194,201701
Şanlıurfa Province,0.4028436018957346,201701
Şırnak,0.5687203791469194,201701
Adana,0.631578947368421,201702
Adıyaman Province,0.6549707602339181,201702
Afyonkarahisar Province,0.4678362573099415,201702
Aksaray,1.4502923976608186,201702
Amasya Province,0.5380116959064327,201702
Ankara,0.8654970760233918,201702
Antalya,0.7485380116959064,201702
Ardahan Province,0.0,201702
Artvin,1.4035087719298245,201702
Aydın Province,0.7719298245614035,201702
Ağrı,1.543859649122807,201702
Balıkesir Province,0.5614035087719298,201702
Bartın Province,0.5847953216374269,201702
Batman,0.5146198830409356,201702
Bayburt,2.3391812865497075,201702
Bilecik,0.42105263157894735,201702
Bingöl Province,1.847953216374269,201702
Bitlis,0.8888888888888888,201702
Bolu,0.8421052631578947,201702
Burdur Province,0.631578947368421,201702
Bursa,0.5847953216374269,201702
Denizli,0.8654970760233918,201702
Diyarbakır,0.3742690058479532,201702
Düzce Province,0.8187134502923976,201702
Edirne,0.935672514619883,201702
Elazığ,0.5614035087719298,201702
Erzincan,0.4678362573099415,201702
Erzurum,0.30409356725146197,201702
Eskişehir Province,0.6081871345029239,201702
Gaziantep,0.7251461988304093,201702
Giresun,0.4444444444444444,201702
Gümüşhane,1.5204678362573099,201702
Hakkâri,1.1929824561403508,201702
Hatay,0.631578947368421,201702
Isparta Province,0.935672514619883,201702
Iğdır,1.239766081871345,201702
Kahramanmaraş Province,0.5146198830409356,201702
Karabük,0.30409356725146197,201702
Karaman,1.2163742690058479,201702
Kars,1.0058479532163742,201702
Kastamonu,0.7953216374269005,201702
Kayseri Province,0.6081871345029239,201702
Kilis,1.0292397660818713,201702
Kocaeli,0.631578947368421,201702
Konya,0.631578947368421,201702
Kütahya,0.5847953216374269,201702
Kırklareli,0.9590643274853801,201702
Kırıkkale,0.4678362573099415,201702
Kırşehir,0.7719298245614035,201702
Malatya,0.8421052631578947,201702
Manisa,0.6549707602339181,201702
Mardin,0.631578947368421,201702
Mersin Province,0.6081871345029239,201702
Muğla Province,0.9122807017543859,201702
Muş,1.9181286549707601,201702
Nevşehir,0.6783625730994152,201702
Niğde,0.631578947368421,201702
Ordu,0.6783625730994152,201702
Osmaniye,0.7017543859649122,201702
Rize,0.49122807017543857,201702
Sakarya,0.6081871345029239,201702
Samsun,0.5847953216374269,201702
Siirt Province,0.0,201702
Sinop Province,0.6081871345029239,201702
Sivas,0.7719298245614035,201702
Tekirdağ,0.7485380116959064,201702
Tokat,0.5614035087719298,201702
Trabzon,0.42105263157894735,201702
Tunceli,0.0,201702
Uşak,0.49122807017543857,201702
Van,0.42105263157894735,201702
Yalova Province,1.0760233918128654,201702
Yozgat,0.5146198830409356,201702
Zonguldak,1.0292397660818713,201702
