geoName,mhrs,Period
Kahramanmaraş Province,0.23809523809523808,201703
Karabük,1.2222222222222223,201703
Karaman,0.6666666666666666,201703
Kars,0.4126984126984127,201703
Kastamonu,0.6349206349206349,201703
Kayseri Province,0.3968253968253968,201703
Kilis,0.38095238095238093,201703
Kocaeli,0.7777777777777778,201703
Konya,0.8571428571428571,201703
Kütahya,1.380952380952381,201703
Kırklareli,0.873015873015873,201703
Kırıkkale,0.19047619047619047,201703
Kırşehir,0.42857142857142855,201703
Malatya,0.2857142857142857,201703
Manisa,0.42857142857142855,201703
Mardin,0.31746031746031744,201703
Mersin Province,0.3492063492063492,201703
Muğla Province,0.6349206349206349,201703
Muş,0.1746031746031746,201703
Nevşehir,0.6031746031746031,201703
Niğde,0.8095238095238095,201703
Ordu,0.6190476190476191,201703
Osmaniye,0.38095238095238093,201703
Rize,1.1746031746031746,201703
Sakarya,1.126984126984127,201703
Samsun,0.7777777777777778,201703
Siirt Province,0.36507936507936506,201703
Sinop Province,0.9365079365079365,201703
Sivas,0.746031746031746,201703
Tekirdağ,0.5873015873015873,201703
Tokat,0.49206349206349204,201703
Trabzon,0.5873015873015873,201703
Tunceli,0.7777777777777778,201703
Uşak,0.5555555555555556,201703
Van,0.38095238095238093,201703
Yalova Province,0.7619047619047619,201703
Yozgat,0.6666666666666666,201703
Zonguldak,0.7301587301587301,201703
Çanakkale Province,0.6984126984126984,201703
Çankırı,0.9682539682539683,201703
Çorum Province,0.7777777777777778,201703
İstanbul,0.8888888888888888,201703
İzmir,0.6666666666666666,201703
Şanlıurfa Province,0.19047619047619047,201703
Şırnak,0.6349206349206349,201703
Adana,0.36666666666666664,201704
Adıyaman Province,0.7666666666666667,201704
Afyonkarahisar Province,0.65,201704
Aksaray,0.43333333333333335,201704
Amasya Province,1.0166666666666666,201704
Ankara,0.6166666666666667,201704
Antalya,0.5833333333333334,201704
Ardahan Province,0.0,201704
Artvin,0.9166666666666666,201704
Aydın Province,0.6333333333333333,201704
Ağrı,0.3,201704
Balıkesir Province,0.9666666666666667,201704
Bartın Province,1.1166666666666667,201704
Batman,0.18333333333333332,201704
Bayburt,0.9333333333333333,201704
Bilecik,1.1333333333333333,201704
Bingöl Province,0.3333333333333333,201704
Bitlis,0.4166666666666667,201704
Bolu,0.75,201704
Burdur Province,0.43333333333333335,201704
Bursa,0.95,201704
Denizli,0.7,201704
Diyarbakır,0.18333333333333332,201704
Düzce Province,1.0166666666666666,201704
Edirne,0.8166666666666667,201704
Elazığ,0.4666666666666667,201704
Erzincan,1.1166666666666667,201704
Erzurum,0.4666666666666667,201704
Eskişehir Province,0.9,201704
Gaziantep,0.3333333333333333,201704
Giresun,0.8833333333333333,201704
Gümüşhane,0.75,201704
Hakkâri,0.2833333333333333,201704
Hatay,0.36666666666666664,201704
Isparta Province,0.5166666666666667,201704
Iğdır,0.45,201704
Kahramanmaraş Province,0.3333333333333333,201704
Karabük,1.3833333333333333,201704
Karaman,0.6666666666666666,201704
Kars,0.4666666666666667,201704
Kastamonu,1.2166666666666666,201704
Kayseri Province,0.4166666666666667,201704
Kilis,0.48333333333333334,201704
Kocaeli,0.9666666666666667,201704
Konya,0.7333333333333333,201704
Kütahya,1.6666666666666667,201704
Kırklareli,0.6833333333333333,201704
Kırıkkale,0.08333333333333333,201704
Kırşehir,0.5333333333333333,201704
Malatya,0.43333333333333335,201704
Manisa,0.5833333333333334,201704
Mardin,0.5166666666666667,201704
Mersin Province,0.4666666666666667,201704
Muğla Province,0.7666666666666667,201704
Muş,0.23333333333333334,201704
Nevşehir,0.4666666666666667,201704
Niğde,0.35,201704
Ordu,0.5666666666666667,201704
Osmaniye,0.48333333333333334,201704
Rize,1.3,201704
Sakarya,1.25,201704
Samsun,1.0166666666666666,201704
Siirt Province,0.55,201704
Sinop Province,1.3166666666666667,201704
Sivas,0.6166666666666667,201704
Tekirdağ,0.5166666666666667,201704
Tokat,0.6333333333333333,201704
Trabzon,0.6333333333333333,201704
Tunceli,0.48333333333333334,201704
Uşak,0.43333333333333335,201704
Van,0.36666666666666664,201704
Yalova Province,0.7166666666666667,201704
Yozgat,0.6166666666666667,201704
Zonguldak,0.65,201704
Çanakkale Province,0.7666666666666667,201704
Çankırı,0.55,201704
Çorum Province,0.75,201704
İstanbul,1.0,201704
İzmir,0.85,201704
Şanlıurfa Province,0.2,201704
Şırnak,0.2833333333333333,201704
Adana,0.39111111111111113,201705
Adıyaman Province,0.9066666666666666,201705
Afyonkarahisar Province,0.5511111111111111,201705
Aksaray,0.26666666666666666,201705
Amasya Province,1.12,201705
Ankara,0.6044444444444445,201705
Antalya,0.6755555555555556,201705
Ardahan Province,0.5333333333333333,201705
Artvin,0.8,201705
Aydın Province,0.8177777777777778,201705
Ağrı,0.28444444444444444,201705
Balıkesir Province,1.3688888888888888,201705
Bartın Province,1.0133333333333334,201705
Batman,0.28444444444444444,201705
Bayburt,0.9244444444444444,201705
Bilecik,1.2977777777777777,201705
Bingöl Province,0.37333333333333335,201705
Bitlis,0.9955555555555555,201705
Bolu,0.8711111111111111,201705
Burdur Province,0.9955555555555555,201705
Bursa,0.9244444444444444,201705
Denizli,0.64,201705
Diyarbakır,0.24888888888888888,201705
Düzce Province,0.8711111111111111,201705
Edirne,0.7111111111111111,201705
Elazığ,0.28444444444444444,201705
Erzincan,0.6933333333333334,201705
Erzurum,0.48,201705
Eskişehir Province,0.9422222222222222,201705
Gaziantep,0.2311111111111111,201705
Giresun,0.6933333333333334,201705
Gümüşhane,0.9955555555555555,201705
Hakkâri,0.6044444444444445,201705
Hatay,0.32,201705
Isparta Province,0.6933333333333334,201705
Iğdır,0.6044444444444445,201705
Kahramanmaraş Province,0.32,201705
Karabük,1.5466666666666666,201705
Karaman,0.7644444444444445,201705
Kars,0.48,201705
Kastamonu,0.9244444444444444,201705
Kayseri Province,0.3022222222222222,201705
Kilis,0.6222222222222222,201705
Kocaeli,0.9066666666666666,201705
Konya,0.7466666666666667,201705
Kütahya,1.7777777777777777,201705
Kırklareli,0.5333333333333333,201705
Kırıkkale,0.26666666666666666,201705
Kırşehir,0.6044444444444445,201705
Malatya,0.39111111111111113,201705
Manisa,0.6933333333333334,201705
Mardin,0.37333333333333335,201705
Mersin Province,0.48,201705
Muğla Province,0.7111111111111111,201705
Muş,0.4622222222222222,201705
Nevşehir,0.5155555555555555,201705
Niğde,0.7466666666666667,201705
Ordu,0.5688888888888889,201705
Osmaniye,0.32,201705
Rize,1.12,201705
Sakarya,1.191111111111111,201705
Samsun,0.8533333333333334,201705
Siirt Province,0.19555555555555557,201705
Sinop Province,0.9955555555555555,201705
Sivas,0.7111111111111111,201705
Tekirdağ,0.7111111111111111,201705
Tokat,0.7111111111111111,201705
Trabzon,0.7466666666666667,201705
Tunceli,0.5155555555555555,201705
Uşak,0.48,201705
Van,0.35555555555555557,201705
Yalova Province,0.4266666666666667,201705
Yozgat,0.49777777777777776,201705
Zonguldak,0.6755555555555556,201705
Çanakkale Province,0.7111111111111111,201705
Çankırı,0.7111111111111111,201705
Çorum Province,0.7288888888888889,201705
İstanbul,1.048888888888889,201705
İzmir,0.8177777777777778,201705
Şanlıurfa Province,0.24888888888888888,201705
Şırnak,0.35555555555555557,201705
Adana,0.5544554455445545,201706
Adıyaman Province,0.8118811881188119,201706
Afyonkarahisar Province,0.7128712871287128,201706
Aksaray,0.6138613861386139,201706
Amasya Province,1.306930693069307,201706
Ankara,0.8712871287128713,201706
Antalya,0.8910891089108911,201706
Ardahan Province,1.8415841584158417,201706
Artvin,1.1683168316831682,201706
Aydın Province,1.0891089108910892,201706
Ağrı,0.5742574257425742,201706
Balıkesir Province,1.2673267326732673,201706
Bartın Province,1.1683168316831682,201706
Batman,0.27722772277227725,201706
Bayburt,1.2079207920792079,201706
Bilecik,1.108910891089109,201706
Bingöl Province,1.2277227722772277,201706
Bitlis,0.7722772277227723,201706
Bolu,0.8712871287128713,201706
Burdur Province,0.7722772277227723,201706
Bursa,1.2475247524752475,201706
Denizli,0.7920792079207921,201706
Diyarbakır,0.43564356435643564,201706
Düzce Province,0.8514851485148515,201706
Edirne,1.0693069306930694,201706
Elazığ,0.33663366336633666,201706
Erzincan,1.4455445544554455,201706
Erzurum,0.39603960396039606,201706
Eskişehir Province,1.00990099009901,201706
Gaziantep,0.297029702970297,201706
Giresun,0.8316831683168316,201706
Gümüşhane,1.9207920792079207,201706
Hakkâri,0.9504950495049505,201706
Hatay,0.693069306930693,201706
Isparta Province,0.8514851485148515,201706
Iğdır,1.0891089108910892,201706
Kahramanmaraş Province,0.37623762376237624,201706
Karabük,1.801980198019802,201706
Karaman,1.2079207920792079,201706
Kars,0.5544554455445545,201706
Kastamonu,0.9900990099009901,201706
Kayseri Province,0.45544554455445546,201706
Kilis,0.43564356435643564,201706
Kocaeli,1.2871287128712872,201706
Konya,1.00990099009901,201706
Kütahya,1.9801980198019802,201706
Kırklareli,1.0693069306930694,201706
Kırıkkale,0.4158415841584158,201706
Kırşehir,0.9108910891089109,201706
Malatya,0.39603960396039606,201706
Manisa,0.9306930693069307,201706
Mardin,0.7326732673267327,201706
Mersin Province,0.45544554455445546,201706
Muğla Province,0.9900990099009901,201706
Muş,1.2277227722772277,201706
Nevşehir,0.7722772277227723,201706
Niğde,0.5742574257425742,201706
Ordu,0.8910891089108911,201706
Osmaniye,0.594059405940594,201706
Rize,1.5643564356435644,201706
Sakarya,1.7425742574257426,201706
Samsun,1.3663366336633664,201706
Siirt Province,0.3564356435643564,201706
Sinop Province,1.108910891089109,201706
Sivas,0.8514851485148515,201706
Tekirdağ,0.7128712871287128,201706
Tokat,1.2475247524752475,201706
Trabzon,0.7326732673267327,201706
Tunceli,1.7227722772277227,201706
Uşak,0.8514851485148515,201706
Van,0.7128712871287128,201706
Yalova Province,0.7524752475247525,201706
Yozgat,0.7524752475247525,201706
Zonguldak,1.0297029702970297,201706
Çanakkale Province,0.9702970297029703,201706
Çankırı,1.306930693069307,201706
Çorum Province,1.0297029702970297,201706
İstanbul,1.4257425742574257,201706
İzmir,1.188118811881188,201706
Şanlıurfa Province,0.297029702970297,201706
Şırnak,0.27722772277227725,201706
Adana,0.3181818181818182,201707
Adıyaman Province,0.48484848484848486,201707
Afyonkarahisar Province,0.48484848484848486,201707
Aksaray,0.3333333333333333,201707
Amasya Province,0.6515151515151515,201707
Ankara,0.5,201707
Antalya,0.5,201707
Ardahan Province,0.0,201707
Artvin,1.0454545454545454,201707
Aydın Province,0.4090909090909091,201707
Ağrı,0.13636363636363635,201707
Balıkesir Province,0.7272727272727273,201707
Bartın Province,0.7424242424242424,201707
Batman,0.24242424242424243,201707
Bayburt,1.5151515151515151,201707
Bilecik,1.0909090909090908,201707
Bingöl Province,0.24242424242424243,201707
Bitlis,0.4696969696969697,201707
Bolu,0.5606060606060606,201707
Burdur Province,0.3939393939393939,201707
Bursa,0.7272727272727273,201707
Denizli,0.6212121212121212,201707
Diyarbakır,0.16666666666666666,201707
Düzce Province,0.6060606060606061,201707
Edirne,0.6515151515151515,201707
Elazığ,0.25757575757575757,201707
Erzincan,0.7424242424242424,201707
Erzurum,0.21212121212121213,201707
Eskişehir Province,0.5757575757575758,201707
Gaziantep,0.21212121212121213,201707
Giresun,0.4090909090909091,201707
Gümüşhane,0.5,201707
Hakkâri,0.30303030303030304,201707
Hatay,0.42424242424242425,201707
Isparta Province,0.3333333333333333,201707
Iğdır,0.24242424242424243,201707
Kahramanmaraş Province,0.25757575757575757,201707
Karabük,1.1363636363636365,201707
Karaman,0.9696969696969697,201707
Kars,0.42424242424242425,201707
Kastamonu,0.7121212121212122,201707
Kayseri Province,0.2878787878787879,201707
Kilis,0.696969696969697,201707
Kocaeli,0.7575757575757576,201707
Konya,0.6666666666666666,201707
Kütahya,1.2727272727272727,201707
Kırklareli,0.5151515151515151,201707
Kırıkkale,0.22727272727272727,201707
Kırşehir,0.25757575757575757,201707
Malatya,0.3181818181818182,201707
Manisa,0.5,201707
Mardin,0.24242424242424243,201707
Mersin Province,0.3787878787878788,201707
Muğla Province,0.3333333333333333,201707
Muş,0.5303030303030303,201707
Nevşehir,0.30303030303030304,201707
Niğde,0.24242424242424243,201707
Ordu,0.5151515151515151,201707
Osmaniye,0.4696969696969697,201707
Rize,0.7727272727272727,201707
Sakarya,0.8484848484848485,201707
Samsun,0.7575757575757576,201707
Siirt Province,0.4393939393939394,201707
Sinop Province,0.8333333333333334,201707
Sivas,0.4090909090909091,201707
Tekirdağ,0.3484848484848485,201707
Tokat,0.5606060606060606,201707
Trabzon,0.5,201707
Tunceli,0.696969696969697,201707
Uşak,0.22727272727272727,201707
Van,0.25757575757575757,201707
Yalova Province,0.48484848484848486,201707
Yozgat,0.3181818181818182,201707
Zonguldak,0.4696969696969697,201707
Çanakkale Province,0.4696969696969697,201707
Çankırı,0.5757575757575758,201707
Çorum Province,0.7424242424242424,201707
İstanbul,0.6818181818181818,201707
İzmir,0.5757575757575758,201707
Şanlıurfa Province,0.21212121212121213,201707
Şırnak,0.16666666666666666,201707
Adana,0.45569620253164556,201708
Adıyaman Province,0.8607594936708861,201708
Afyonkarahisar Province,0.33755274261603374,201708
Aksaray,0.48945147679324896,201708
Amasya Province,1.1139240506329113,201708
Ankara,0.6919831223628692,201708
Antalya,0.7088607594936709,201708
Ardahan Province,0.0,201708
Artvin,1.5021097046413503,201708
Aydın Province,0.6751054852320675,201708
Ağrı,0.4219409282700422,201708
Balıkesir Province,1.029535864978903,201708
Bartın Province,1.0970464135021096,201708
Batman,0.4219409282700422,201708
Bayburt,1.080168776371308,201708
Bilecik,1.620253164556962,201708
Bingöl Province,0.35443037974683544,201708
Bitlis,0.5738396624472574,201708
Bolu,0.5569620253164557,201708
Burdur Province,1.0970464135021096,201708
Bursa,1.080168776371308,201708
Denizli,0.7088607594936709,201708
Diyarbakır,0.3206751054852321,201708
Düzce Province,1.0464135021097047,201708
Edirne,1.0126582278481013,201708
Elazığ,0.4219409282700422,201708
Erzincan,0.37130801687763715,201708
Erzurum,0.270042194092827,201708
Eskişehir Province,0.9620253164556962,201708
Gaziantep,0.4388185654008439,201708
Giresun,0.6075949367088608,201708
Gümüşhane,0.759493670886076,201708
Hakkâri,0.6075949367088608,201708
Hatay,0.47257383966244726,201708
Isparta Province,0.6075949367088608,201708
Iğdır,1.0126582278481013,201708
Kahramanmaraş Province,0.33755274261603374,201708
Karabük,1.2658227848101267,201708
Karaman,0.8607594936708861,201708
Kars,1.0632911392405062,201708
Kastamonu,0.8607594936708861,201708
Kayseri Province,0.5907172995780591,201708
Kilis,0.25316455696202533,201708
Kocaeli,1.0126582278481013,201708
Konya,0.8607594936708861,201708
Kütahya,1.5527426160337552,201708
Kırklareli,0.7426160337552743,201708
Kırıkkale,0.270042194092827,201708
Kırşehir,0.5063291139240507,201708
Malatya,0.2869198312236287,201708
Manisa,0.6582278481012658,201708
Mardin,0.7426160337552743,201708
Mersin Province,0.5232067510548524,201708
Muğla Province,0.6244725738396625,201708
Muş,0.3881856540084388,201708
Nevşehir,0.5232067510548524,201708
Niğde,0.8438818565400844,201708
Ordu,0.7257383966244726,201708
Osmaniye,0.6919831223628692,201708
Rize,1.4177215189873418,201708
Sakarya,1.5527426160337552,201708
Samsun,1.0970464135021096,201708
Siirt Province,0.21940928270042195,201708
Sinop Province,1.6877637130801688,201708
Sivas,0.7088607594936709,201708
Tekirdağ,0.6413502109704642,201708
Tokat,0.7426160337552743,201708
Trabzon,0.7088607594936709,201708
Tunceli,0.0,201708
Uşak,0.48945147679324896,201708
Van,0.6244725738396625,201708
Yalova Province,0.7763713080168776,201708
Yozgat,0.5063291139240507,201708
Zonguldak,0.9282700421940928,201708
Çanakkale Province,0.6751054852320675,201708
Çankırı,1.0464135021097047,201708
Çorum Province,1.029535864978903,201708
İstanbul,1.080168776371308,201708
İzmir,0.7426160337552743,201708
Şanlıurfa Province,0.3206751054852321,201708
Şırnak,0.5569620253164557,201708
Adana,0.3401360544217687,201709
