geoName,hastane,Period
Adana,0.6309148264984227,201701
Adıyaman Province,0.5678233438485805,201701
Afyonkarahisar Province,1.3722397476340695,201701
Aksaray,0.6151419558359622,201701
Amasya Province,1.2145110410094637,201701
Ankara,0.804416403785489,201701
Antalya,0.8201892744479495,201701
Ardahan Province,1.0410094637223974,201701
Artvin,0.5678233438485805,201701
Aydın Province,0.8201892744479495,201701
Ağrı,0.41009463722397477,201701
Balıkesir Province,0.9463722397476341,201701
Bartın Province,0.6151419558359622,201701
Batman,0.4889589905362776,201701
Bayburt,1.5772870662460567,201701
Bilecik,0.7886435331230284,201701
Bingöl Province,0.6782334384858044,201701
Bitlis,0.7255520504731862,201701
Bolu,0.8201892744479495,201701
Burdur Province,0.41009463722397477,201701
Bursa,0.7255520504731862,201701
Denizli,0.8675078864353313,201701
Diyarbakır,0.6151419558359622,201701
Düzce Province,0.7728706624605678,201701
Edirne,0.8675078864353313,201701
Elazığ,0.5362776025236593,201701
Erzincan,1.2618296529968454,201701
Erzurum,0.5993690851735016,201701
Eskişehir Province,1.0410094637223974,201701
Gaziantep,0.5678233438485805,201701
Giresun,0.47318611987381703,201701
Gümüşhane,0.7255520504731862,201701
Hakkâri,0.6624605678233438,201701
Hatay,0.5362776025236593,201701
Isparta Province,1.1829652996845426,201701
Iğdır,0.5205047318611987,201701
Kahramanmaraş Province,0.7886435331230284,201701
Karabük,1.0094637223974763,201701
Karaman,1.0410094637223974,201701
Kars,0.5205047318611987,201701
Kastamonu,0.7255520504731862,201701
Kayseri Province,0.5993690851735016,201701
Kilis,0.5520504731861199,201701
Kocaeli,0.9936908517350158,201701
Konya,0.6466876971608833,201701
Kütahya,0.8990536277602524,201701
Kırklareli,1.0567823343848581,201701
Kırıkkale,0.7886435331230284,201701
Kırşehir,1.025236593059937,201701
Malatya,0.5205047318611987,201701
Manisa,0.7570977917981073,201701
Mardin,0.7728706624605678,201701
Mersin Province,0.5047318611987381,201701
Muğla Province,0.8201892744479495,201701
Muş,0.7097791798107256,201701
Nevşehir,0.3627760252365931,201701
Niğde,0.7728706624605678,201701
Ordu,0.7097791798107256,201701
Osmaniye,0.583596214511041,201701
Rize,0.8990536277602524,201701
Sakarya,0.7728706624605678,201701
Samsun,0.8359621451104101,201701
Siirt Province,0.5362776025236593,201701
Sinop Province,0.7886435331230284,201701
Sivas,0.694006309148265,201701
Tekirdağ,0.7728706624605678,201701
Tokat,0.8201892744479495,201701
Trabzon,0.6466876971608833,201701
Tunceli,0.9936908517350158,201701
Uşak,0.6624605678233438,201701
Van,0.6466876971608833,201701
Yalova Province,0.7570977917981073,201701
Yozgat,1.0725552050473186,201701
Zonguldak,0.8832807570977919,201701
Çanakkale Province,1.135646687697161,201701
Çankırı,0.8359621451104101,201701
Çorum Province,0.583596214511041,201701
İstanbul,0.8359621451104101,201701
İzmir,0.8990536277602524,201701
