geoName,baş ağrısı,Period
Adana,0.4807692307692308,201701
Adıyaman Province,0.6538461538461539,201701
Afyonkarahisar Province,0.4423076923076923,201701
Aksaray,0.4423076923076923,201701
Amasya Province,0.6153846153846154,201701
Ankara,0.5576923076923077,201701
Antalya,0.4807692307692308,201701
Ardahan Province,0.0,201701
Artvin,0.6153846153846154,201701
Aydın Province,0.40384615384615385,201701
Ağrı,0.0,201701
Balıkesir Province,0.5,201701
Bartın Province,0.5192307692307693,201701
Batman,0.6538461538461539,201701
Bayburt,0.0,201701
Bilecik,0.9038461538461539,201701
Bingöl Province,0.8461538461538461,201701
Bitlis,1.5576923076923077,201701
Bolu,0.4230769230769231,201701
Burdur Province,0.5769230769230769,201701
Bursa,0.5384615384615384,201701
Denizli,0.6730769230769231,201701
Diyarbakır,0.4230769230769231,201701
Düzce Province,0.4807692307692308,201701
Edirne,0.19230769230769232,201701
Elazığ,0.5961538461538461,201701
Erzincan,1.9230769230769231,201701
Erzurum,0.5192307692307693,201701
Eskişehir Province,0.4807692307692308,201701
Gaziantep,0.5576923076923077,201701
Giresun,0.4807692307692308,201701
Gümüşhane,0.0,201701
Hakkâri,1.0961538461538463,201701
Hatay,0.5961538461538461,201701
Isparta Province,0.4807692307692308,201701
Iğdır,1.1153846153846154,201701
Kahramanmaraş Province,0.34615384615384615,201701
Karabük,0.6538461538461539,201701
Karaman,0.7115384615384616,201701
Kars,1.0192307692307692,201701
Kastamonu,0.28846153846153844,201701
Kayseri Province,0.5961538461538461,201701
Kilis,0.0,201701
Kocaeli,0.5961538461538461,201701
Konya,0.34615384615384615,201701
Kütahya,0.3269230769230769,201701
Kırklareli,0.4807692307692308,201701
Kırıkkale,0.46153846153846156,201701
Kırşehir,1.0961538461538463,201701
Malatya,0.5192307692307693,201701
Manisa,0.5384615384615384,201701
Mardin,0.5192307692307693,201701
Mersin Province,0.6730769230769231,201701
Muğla Province,0.4807692307692308,201701
Muş,0.8846153846153846,201701
Nevşehir,0.3076923076923077,201701
Niğde,0.9615384615384616,201701
Ordu,0.6153846153846154,201701
Osmaniye,0.4230769230769231,201701
Rize,0.5,201701
Sakarya,0.40384615384615385,201701
Samsun,0.4230769230769231,201701
Siirt Province,1.4230769230769231,201701
Sinop Province,0.6923076923076923,201701
Sivas,0.75,201701
Tekirdağ,0.28846153846153844,201701
Tokat,0.5192307692307693,201701
Trabzon,0.6346153846153846,201701
Tunceli,0.0,201701
Uşak,0.0,201701
Van,0.4230769230769231,201701
Yalova Province,0.36538461538461536,201701
Yozgat,0.75,201701
Zonguldak,0.6153846153846154,201701
Çanakkale Province,0.38461538461538464,201701
Çankırı,0.6346153846153846,201701
Çorum Province,0.34615384615384615,201701
İstanbul,0.4807692307692308,201701
İzmir,0.5384615384615384,201701
Şanlıurfa Province,0.36538461538461536,201701
Şırnak,0.9423076923076923,201701
Adana,0.5497630331753555,201702
Adıyaman Province,0.6066350710900474,201702
Afyonkarahisar Province,0.7962085308056872,201702
Aksaray,0.24644549763033174,201702
Amasya Province,0.2843601895734597,201702
Ankara,0.5118483412322274,201702
Antalya,0.41706161137440756,201702
Ardahan Province,0.0,201702
Artvin,0.8720379146919431,201702
Aydın Province,0.47393364928909953,201702
Ağrı,0.43601895734597157,201702
Balıkesir Province,0.4549763033175355,201702
Bartın Province,1.3080568720379147,201702
Batman,0.4928909952606635,201702
Bayburt,0.0,201702
Bilecik,0.7014218009478673,201702
Bingöl Province,0.7582938388625592,201702
Bitlis,0.7014218009478673,201702
Bolu,0.5308056872037915,201702
Burdur Province,0.7962085308056872,201702
Bursa,0.47393364928909953,201702
Denizli,0.43601895734597157,201702
Diyarbakır,0.4928909952606635,201702
Düzce Province,0.3412322274881517,201702
Edirne,0.5118483412322274,201702
Elazığ,0.3981042654028436,201702
Erzincan,1.8957345971563981,201702
Erzurum,0.7393364928909952,201702
Eskişehir Province,0.3791469194312796,201702
Gaziantep,0.41706161137440756,201702
Giresun,0.3222748815165877,201702
Gümüşhane,0.0,201702
Hakkâri,1.004739336492891,201702
Hatay,0.3222748815165877,201702
Isparta Province,0.36018957345971564,201702
Iğdır,0.0,201702
Kahramanmaraş Province,0.47393364928909953,201702
Karabük,0.41706161137440756,201702
Karaman,0.4928909952606635,201702
Kars,0.7203791469194313,201702
Kastamonu,1.0236966824644549,201702
Kayseri Province,0.5876777251184834,201702
Kilis,0.8720379146919431,201702
Kocaeli,0.4928909952606635,201702
Konya,0.4549763033175355,201702
Kütahya,0.5308056872037915,201702
Kırklareli,0.6255924170616114,201702
Kırıkkale,0.3033175355450237,201702
Kırşehir,0.5687203791469194,201702
Malatya,0.6255924170616114,201702
Manisa,0.1895734597156398,201702
Mardin,0.6255924170616114,201702
Mersin Province,0.41706161137440756,201702
Muğla Province,0.3981042654028436,201702
Muş,1.6113744075829384,201702
Nevşehir,0.7393364928909952,201702
Niğde,0.9289099526066351,201702
Ordu,0.36018957345971564,201702
Osmaniye,0.5687203791469194,201702
Rize,1.1563981042654028,201702
Sakarya,0.5687203791469194,201702
Samsun,0.3791469194312796,201702
Siirt Province,1.2890995260663507,201702
Sinop Province,0.7393364928909952,201702
Sivas,0.3222748815165877,201702
Tekirdağ,0.3791469194312796,201702
Tokat,0.4928909952606635,201702
Trabzon,0.43601895734597157,201702
Tunceli,0.0,201702
Uşak,0.5876777251184834,201702
Van,0.36018957345971564,201702
Yalova Province,0.5308056872037915,201702
Yozgat,0.47393364928909953,201702
Zonguldak,0.41706161137440756,201702
Çanakkale Province,0.22748815165876776,201702
Çankırı,0.5876777251184834,201702
Çorum Province,0.5118483412322274,201702
İstanbul,0.43601895734597157,201702
İzmir,0.47393364928909953,201702
Şanlıurfa Province,0.22748815165876776,201702
Şırnak,0.5497630331753555,201702
Adana,0.717391304347826,201703
Adıyaman Province,0.2826086956521739,201703
Afyonkarahisar Province,0.6521739130434783,201703
Aksaray,1.1304347826086956,201703
Amasya Province,1.0869565217391304,201703
Ankara,0.6521739130434783,201703
Antalya,0.5434782608695652,201703
Ardahan Province,0.0,201703
Artvin,0.782608695652174,201703
Aydın Province,0.5217391304347826,201703
Ağrı,0.6956521739130435,201703
Balıkesir Province,0.6521739130434783,201703
Bartın Province,1.4565217391304348,201703
Batman,0.5434782608695652,201703
Bayburt,0.0,201703
Bilecik,0.7391304347826086,201703
Bingöl Province,0.9565217391304348,201703
