,Location,Date,polarity
87,"Afyonkarahisar,Turkey",2020-03-31 23:53:21+00:00,-1.0
88,"Afyonkarahisar,Turkey",2020-03-31 23:53:36+00:00,0.0
89,"Afyonkarahisar,Turkey",2020-03-31 23:53:55+00:00,0.0
90,"Afyonkarahisar,Turkey",2020-03-31 23:53:58+00:00,1.0
91,"Afyonkarahisar,Turkey",2020-03-31 23:54:26+00:00,1.0
92,"Afyonkarahisar,Turkey",2020-03-31 23:54:30+00:00,1.0
93,"Afyonkarahisar,Turkey",2020-03-31 23:54:54+00:00,1.0
94,"Afyonkarahisar,Turkey",2020-03-31 23:55:11+00:00,-1.0
95,"Afyonkarahisar,Turkey",2020-03-31 23:55:27+00:00,-1.0
96,"Afyonkarahisar,Turkey",2020-03-31 23:56:21+00:00,-1.0
97,"Afyonkarahisar,Turkey",2020-03-31 23:56:22+00:00,-4.0
98,"Afyonkarahisar,Turkey",2020-03-31 23:56:23+00:00,1.0
99,"Afyonkarahisar,Turkey",2020-03-31 23:56:39+00:00,-1.0
100,"Afyonkarahisar,Turkey",2020-03-31 23:56:59+00:00,-1.0
101,"Afyonkarahisar,Turkey",2020-03-31 23:57:10+00:00,1.5
102,"Afyonkarahisar,Turkey",2020-03-31 23:57:42+00:00,0.0
103,"Afyonkarahisar,Turkey",2020-03-31 23:57:45+00:00,-1.0
104,"Afyonkarahisar,Turkey",2020-03-31 23:58:06+00:00,-3.0
105,"Afyonkarahisar,Turkey",2020-03-31 23:58:22+00:00,-1.0
106,"Afyonkarahisar,Turkey",2020-03-31 23:58:36+00:00,0.0
107,"Afyonkarahisar,Turkey",2020-03-31 23:58:48+00:00,1.0
108,"Afyonkarahisar,Turkey",2020-03-31 23:59:09+00:00,-2.0
109,"Afyonkarahisar,Turkey",2020-03-31 23:59:46+00:00,0.0
110,"Amasya,Turkey",2019-04-17 07:42:29+00:00,0.0
111,"Ankara,Turkey",2018-09-30 15:27:02+00:00,2.0
112,"Ankara,Turkey",2018-10-05 10:11:11+00:00,1.0
113,"Ankara,Turkey",2019-01-11 18:34:03+00:00,-1.0
114,"Ankara,Turkey",2019-01-23 14:23:21+00:00,1.0
115,"Ankara,Turkey",2019-02-11 10:21:07+00:00,1.0
116,"Ankara,Turkey",2019-02-14 09:49:11+00:00,1.0
117,"Ankara,Turkey",2019-03-07 12:40:09+00:00,1.0
118,"Ankara,Turkey",2019-03-22 08:25:02+00:00,3.0
119,"Ankara,Turkey",2019-03-29 14:41:37+00:00,-2.0
120,"Ankara,Turkey",2019-05-19 13:54:11+00:00,1.0
121,"Ankara,Turkey",2019-05-26 00:59:46+00:00,-5.0
122,"Ankara,Turkey",2019-06-07 01:31:33+00:00,-1.0
123,"Ankara,Turkey",2019-06-09 09:06:44+00:00,4.0
124,"Ankara,Turkey",2019-06-11 13:32:52+00:00,2.0
125,"Ankara,Turkey",2019-06-24 20:09:06+00:00,2.0
126,"Ankara,Turkey",2019-06-24 22:03:29+00:00,-1.0
127,"Ankara,Turkey",2019-06-24 22:04:28+00:00,1.0
128,"Ankara,Turkey",2019-06-25 18:04:36+00:00,-1.0
129,"Ankara,Turkey",2019-06-26 12:49:54+00:00,1.0
130,"Ankara,Turkey",2019-07-14 12:53:02+00:00,-1.0
131,"Ankara,Turkey",2019-07-19 08:50:55+00:00,1.0
132,"Ankara,Turkey",2019-07-23 09:57:32+00:00,4.0
133,"Ankara,Turkey",2019-07-26 19:39:28+00:00,-4.0
134,"Ankara,Turkey",2019-08-15 08:47:33+00:00,0.0
135,"Ankara,Turkey",2019-08-17 18:11:24+00:00,-1.0
136,"Ankara,Turkey",2019-08-28 08:31:14+00:00,4.0
137,"Ankara,Turkey",2019-08-28 17:41:17+00:00,4.0
138,"Ankara,Turkey",2019-08-30 20:46:11+00:00,0.0
139,"Ankara,Turkey",2019-09-11 19:13:04+00:00,1.0
140,"Ankara,Turkey",2019-09-19 05:07:02+00:00,1.0
141,"Ankara,Turkey",2019-09-19 15:18:02+00:00,-1.0
142,"Ankara,Turkey",2019-09-25 19:07:48+00:00,0.0
143,"Ankara,Turkey",2019-09-26 21:05:22+00:00,1.0
144,"Ankara,Turkey",2019-09-26 21:09:25+00:00,-1.0
145,"Ankara,Turkey",2019-09-27 18:02:41+00:00,0.0
146,"Ankara,Turkey",2019-09-28 06:05:45+00:00,-2.0
147,"Ankara,Turkey",2019-09-28 08:47:37+00:00,1.0
148,"Ankara,Turkey",2019-10-10 07:56:45+00:00,1.0
149,"Ankara,Turkey",2019-10-15 06:04:46+00:00,1.0
150,"Ankara,Turkey",2019-10-16 14:43:57+00:00,-3.0
151,"Ankara,Turkey",2019-10-23 17:56:09+00:00,1.0
152,"Ankara,Turkey",2019-10-25 13:12:27+00:00,-2.0
153,"Ankara,Turkey",2019-11-18 09:16:22+00:00,-1.0
154,"Ankara,Turkey",2019-11-22 04:48:16+00:00,-1.0
155,"Ankara,Turkey",2019-11-25 19:39:37+00:00,0.0
156,"Ankara,Turkey",2019-11-26 05:29:15+00:00,3.0
157,"Ankara,Turkey",2019-11-30 13:03:25+00:00,-1.0
158,"Ankara,Turkey",2019-12-01 16:14:15+00:00,3.0
159,"Ankara,Turkey",2019-12-15 09:08:39+00:00,0.0
160,"Ankara,Turkey",2019-12-29 20:29:32+00:00,1.0
161,"Ankara,Turkey",2020-01-01 20:07:09+00:00,3.0
162,"Ankara,Turkey",2020-01-04 05:40:54+00:00,3.0
163,"Ankara,Turkey",2020-01-05 21:37:59+00:00,-1.0
164,"Ankara,Turkey",2020-01-07 12:31:19+00:00,2.0
165,"Ankara,Turkey",2020-01-07 12:31:41+00:00,2.0
166,"Ankara,Turkey",2020-01-15 19:15:12+00:00,-1.0
167,"Ankara,Turkey",2020-01-31 14:01:32+00:00,2.0
168,"Ankara,Turkey",2020-02-14 20:34:15+00:00,3.0
169,"Ankara,Turkey",2020-02-16 09:31:18+00:00,1.0
170,"Ankara,Turkey",2020-02-16 13:29:06+00:00,-1.0
171,"Ankara,Turkey",2020-02-23 09:56:33+00:00,2.0
172,"Ankara,Turkey",2020-02-25 15:24:45+00:00,3.0
173,"Ankara,Turkey",2020-03-01 17:13:53+00:00,2.0
174,"Ankara,Turkey",2020-03-02 17:12:51+00:00,-1.0
175,"Ankara,Turkey",2020-03-04 20:24:49+00:00,-1.0
176,"Ankara,Turkey",2020-03-11 20:32:33+00:00,0.0
177,"Ankara,Turkey",2020-03-16 11:26:45+00:00,-3.0
178,"Ankara,Turkey",2020-03-19 14:14:55+00:00,1.0
179,"Ankara,Turkey",2020-03-23 10:18:58+00:00,0.0
180,"Ankara,Turkey",2020-03-28 09:18:43+00:00,2.0
181,"Ankara,Turkey",2020-03-28 15:08:00+00:00,1.0
182,"Ankara,Turkey",2020-03-28 16:16:12+00:00,-1.0
183,"Ankara,Turkey",2020-03-29 11:50:55+00:00,1.0
184,"Antalya,Turkey",2017-05-31 12:20:49+00:00,0.0
185,"Antalya,Turkey",2017-10-06 19:41:38+00:00,-1.0
186,"Antalya,Turkey",2017-10-11 12:29:44+00:00,1.0
187,"Antalya,Turkey",2018-07-13 15:11:58+00:00,-1.0
188,"Antalya,Turkey",2019-03-13 14:13:38+00:00,-1.0
189,"Antalya,Turkey",2019-03-15 22:02:27+00:00,-1.0
190,"Antalya,Turkey",2019-03-22 11:54:57+00:00,-1.0
191,"Antalya,Turkey",2019-03-25 12:19:01+00:00,1.0
