,Geolocation,Date,polarity
77,"IĞDIR,Turkey",2017-02-24 13:32:02+00:00,-1
78,"IĞDIR,Turkey",2017-02-27 07:15:41+00:00,0
79,"IĞDIR,Turkey",2017-02-28 12:38:37+00:00,0
80,"IĞDIR,Turkey",2017-03-06 13:38:31+00:00,1
81,"IĞDIR,Turkey",2017-03-07 12:38:23+00:00,1
82,"IĞDIR,Turkey",2017-03-09 13:25:40+00:00,1
83,"IĞDIR,Turkey",2017-03-10 12:57:22+00:00,-1
84,"IĞDIR,Turkey",2017-03-13 07:45:45+00:00,2
85,"IĞDIR,Turkey",2017-03-17 12:12:22+00:00,1
86,"IĞDIR,Turkey",2017-03-18 07:30:19+00:00,4
87,"IĞDIR,Turkey",2017-03-20 07:34:56+00:00,1
88,"IĞDIR,Turkey",2017-03-21 13:02:42+00:00,1
89,"IĞDIR,Turkey",2017-03-22 12:49:47+00:00,1
90,"IĞDIR,Turkey",2017-03-23 13:01:01+00:00,1
91,"IĞDIR,Turkey",2017-03-24 11:59:26+00:00,1
92,"IĞDIR,Turkey",2017-03-27 13:45:34+00:00,1
93,"IĞDIR,Turkey",2017-03-31 13:43:46+00:00,1
94,"IĞDIR,Turkey",2017-04-17 14:36:57+00:00,1
95,"IĞDIR,Turkey",2017-04-20 14:05:41+00:00,-1
96,"IĞDIR,Turkey",2017-04-25 13:40:14+00:00,1
97,"IĞDIR,Turkey",2017-04-26 13:53:51+00:00,-1
98,"IĞDIR,Turkey",2017-04-28 15:31:37+00:00,2
99,"IĞDIR,Turkey",2017-05-02 07:29:51+00:00,1
100,"IĞDIR,Turkey",2017-05-03 13:41:41+00:00,-1
101,"IĞDIR,Turkey",2017-05-04 12:51:35+00:00,1
102,"IĞDIR,Turkey",2017-05-05 13:18:45+00:00,-1
103,"IĞDIR,Turkey",2017-05-11 07:35:07+00:00,2
104,"IĞDIR,Turkey",2017-05-12 14:55:39+00:00,2
105,"IĞDIR,Turkey",2017-05-15 11:54:41+00:00,0
106,"IĞDIR,Turkey",2017-05-16 12:32:06+00:00,2
107,"IĞDIR,Turkey",2017-05-17 12:22:21+00:00,-3
108,"IĞDIR,Turkey",2017-05-18 12:54:20+00:00,0
109,"IĞDIR,Turkey",2017-05-23 13:29:54+00:00,0
110,"IĞDIR,Turkey",2017-05-25 09:30:53+00:00,-1
111,"IĞDIR,Turkey",2017-05-25 11:18:15+00:00,-1
112,"IĞDIR,Turkey",2017-05-30 15:07:29+00:00,1
113,"IĞDIR,Turkey",2017-06-06 14:02:54+00:00,-1
114,"IĞDIR,Turkey",2017-06-10 07:55:04+00:00,2
115,"IĞDIR,Turkey",2017-06-14 15:45:21+00:00,3
116,"IĞDIR,Turkey",2017-06-15 07:28:02+00:00,1
117,"IĞDIR,Turkey",2017-06-15 10:33:16+00:00,0
118,"IĞDIR,Turkey",2017-06-16 09:17:10+00:00,-1
119,"IĞDIR,Turkey",2017-06-22 17:00:42+00:00,-2
120,"IĞDIR,Turkey",2017-06-23 17:00:50+00:00,1
121,"IĞDIR,Turkey",2017-06-25 07:00:20+00:00,1
122,"IĞDIR,Turkey",2017-06-28 07:10:05+00:00,1
123,"IĞDIR,Turkey",2017-06-30 07:05:52+00:00,2
124,"IĞDIR,Turkey",2017-07-28 08:54:46+00:00,-1
125,"IĞDIR,Turkey",2017-08-30 06:30:16+00:00,1
126,"IĞDIR,Turkey",2017-08-31 06:05:06+00:00,1
127,"IĞDIR,Turkey",2017-09-01 18:42:14+00:00,-1
128,"IĞDIR,Turkey",2017-09-14 13:37:42+00:00,1
129,"IĞDIR,Turkey",2017-09-15 14:00:36+00:00,0
130,"IĞDIR,Turkey",2017-09-19 15:34:58+00:00,1
131,"IĞDIR,Turkey",2017-09-19 18:22:38+00:00,0
132,"IĞDIR,Turkey",2017-09-19 22:06:54+00:00,1
133,"IĞDIR,Turkey",2017-09-22 13:39:26+00:00,1
134,"IĞDIR,Turkey",2017-09-25 20:14:55+00:00,1
135,"IĞDIR,Turkey",2017-09-26 06:22:56+00:00,1
136,"IĞDIR,Turkey",2017-09-26 06:26:33+00:00,2
137,"IĞDIR,Turkey",2017-09-26 11:55:43+00:00,1
138,"IĞDIR,Turkey",2017-09-27 13:05:54+00:00,0
139,"IĞDIR,Turkey",2017-09-27 13:12:18+00:00,-1
140,"IĞDIR,Turkey",2017-10-03 12:51:45+00:00,1
141,"IĞDIR,Turkey",2017-10-06 12:13:34+00:00,-1
142,"IĞDIR,Turkey",2017-10-10 07:38:49+00:00,1
143,"IĞDIR,Turkey",2017-10-11 16:35:10+00:00,-1
144,"IĞDIR,Turkey",2017-10-13 10:16:00+00:00,-1
145,"IĞDIR,Turkey",2017-10-16 07:13:51+00:00,-1
146,"IĞDIR,Turkey",2017-10-20 13:51:12+00:00,1
147,"IĞDIR,Turkey",2017-10-23 05:26:18+00:00,-1
148,"IĞDIR,Turkey",2017-10-23 07:56:13+00:00,-1
149,"IĞDIR,Turkey",2017-10-24 07:45:57+00:00,1
150,"IĞDIR,Turkey",2017-10-27 09:08:30+00:00,3
151,"IĞDIR,Turkey",2017-10-30 07:12:34+00:00,-2
152,"IĞDIR,Turkey",2017-11-06 08:30:45+00:00,1
153,"IĞDIR,Turkey",2017-11-07 11:09:03+00:00,1
154,"IĞDIR,Turkey",2017-11-09 04:24:03+00:00,2
155,"IĞDIR,Turkey",2017-11-10 05:05:04+00:00,1
156,"IĞDIR,Turkey",2017-11-14 15:13:59+00:00,-1
157,"IĞDIR,Turkey",2017-11-15 13:15:12+00:00,1
158,"IĞDIR,Turkey",2017-11-17 07:29:13+00:00,1
159,"IĞDIR,Turkey",2017-11-22 08:54:41+00:00,2
160,"IĞDIR,Turkey",2017-11-23 14:51:39+00:00,0
161,"IĞDIR,Turkey",2017-12-05 14:19:37+00:00,0
162,"IĞDIR,Turkey",2017-12-06 13:27:39+00:00,0
163,"IĞDIR,Turkey",2017-12-07 12:14:50+00:00,1
164,"IĞDIR,Turkey",2017-12-11 08:10:01+00:00,2
165,"IĞDIR,Turkey",2017-12-12 14:19:33+00:00,3
166,"IĞDIR,Turkey",2017-12-14 07:15:24+00:00,1
167,"IĞDIR,Turkey",2017-12-15 13:31:43+00:00,1
168,"IĞDIR,Turkey",2017-12-18 08:01:42+00:00,1
169,"IĞDIR,Turkey",2017-12-20 07:57:41+00:00,3
170,"IĞDIR,Turkey",2017-12-21 13:19:36+00:00,3
171,"IĞDIR,Turkey",2017-12-25 06:48:36+00:00,1
172,"IĞDIR,Turkey",2017-12-27 13:26:06+00:00,0
173,"IĞDIR,Turkey",2017-12-28 13:16:57+00:00,1
174,"IĞDIR,Turkey",2017-12-29 15:03:56+00:00,1
175,"KIRKLARELİ,Turkey",2020-01-05 00:43:01+00:00,3
176,"KIRŞEHİR,Turkey",2018-01-14 10:25:46+00:00,1
177,"KIRŞEHİR,Turkey",2018-01-23 07:36:03+00:00,3
178,"KIRŞEHİR,Turkey",2018-01-24 11:32:31+00:00,1
179,"KIRŞEHİR,Turkey",2018-01-26 09:47:42+00:00,-1
180,"KIRŞEHİR,Turkey",2018-01-28 20:08:09+00:00,-4
181,"KIRŞEHİR,Turkey",2018-01-30 10:42:52+00:00,1
182,"KIRŞEHİR,Turkey",2018-02-08 09:34:55+00:00,2
183,"KIRŞEHİR,Turkey",2018-02-09 14:00:50+00:00,2
184,"KIRŞEHİR,Turkey",2018-02-13 07:38:54+00:00,1
185,"KIRŞEHİR,Turkey",2018-02-20 14:39:28+00:00,-1
186,"KIRŞEHİR,Turkey",2018-02-23 22:21:12+00:00,-1
187,"KIRŞEHİR,Turkey",2018-05-08 09:01:26+00:00,1
188,"KIRŞEHİR,Turkey",2018-05-12 03:14:10+00:00,-1
189,"KIRŞEHİR,Turkey",2018-05-21 21:03:07+00:00,1
190,"KÜTAHYA,Turkey",2018-06-01 04:42:31+00:00,-1
191,"KÜTAHYA,Turkey",2018-06-04 16:37:28+00:00,2
192,"KÜTAHYA,Turkey",2018-06-04 17:07:27+00:00,1
193,"KÜTAHYA,Turkey",2018-06-15 00:21:46+00:00,-1
194,"KÜTAHYA,Turkey",2018-06-26 06:09:02+00:00,1
195,"KÜTAHYA,Turkey",2018-06-28 02:11:28+00:00,-1
196,"KÜTAHYA,Turkey",2018-09-21 11:12:59+00:00,0
197,"NEVŞEHİR,Turkey",2018-10-09 11:46:56+00:00,1
198,"OSMANİYE,Turkey",2018-12-05 10:24:28+00:00,1
199,"OSMANİYE,Turkey",2018-12-11 01:40:03+00:00,-1
200,"OSMANİYE,Turkey",2018-12-11 01:40:23+00:00,-1
201,"OSMANİYE,Turkey",2018-12-18 09:40:01+00:00,-1
202,"OSMANİYE,Turkey",2019-01-25 16:16:16+00:00,1
203,"OSMANİYE,Turkey",2019-01-28 14:14:53+00:00,1
204,"OSMANİYE,Turkey",2019-01-30 06:26:20+00:00,-1
205,"OSMANİYE,Turkey",2019-01-30 09:03:00+00:00,2
206,"OSMANİYE,Turkey",2019-01-31 07:00:18+00:00,-2
207,"OSMANİYE,Turkey",2019-02-01 07:29:49+00:00,2
208,"OSMANİYE,Turkey",2019-02-04 08:55:55+00:00,1
209,"OSMANİYE,Turkey",2019-02-08 11:43:27+00:00,4
210,"OSMANİYE,Turkey",2019-02-14 07:20:26+00:00,1
211,"OSMANİYE,Turkey",2019-02-20 06:00:28+00:00,1
212,"OSMANİYE,Turkey",2019-02-22 14:01:06+00:00,0
213,"OSMANİYE,Turkey",2019-02-25 08:35:43+00:00,1
214,"OSMANİYE,Turkey",2019-02-26 07:35:43+00:00,1
215,"OSMANİYE,Turkey",2019-02-28 08:01:01+00:00,1
216,"OSMANİYE,Turkey",2019-03-07 11:17:58+00:00,2
217,"OSMANİYE,Turkey",2019-03-08 06:20:06+00:00,1
218,"OSMANİYE,Turkey",2019-03-11 07:38:15+00:00,1
219,"OSMANİYE,Turkey",2019-03-18 12:19:01+00:00,1
220,"OSMANİYE,Turkey",2019-03-20 07:24:06+00:00,0
221,"OSMANİYE,Turkey",2019-03-23 10:33:32+00:00,-1
222,"OSMANİYE,Turkey",2019-03-24 12:33:57+00:00,1
223,"OSMANİYE,Turkey",2019-03-27 15:18:00+00:00,2
224,"OSMANİYE,Turkey",2019-03-29 11:56:59+00:00,1
225,"OSMANİYE,Turkey",2019-04-03 08:29:11+00:00,1
226,"OSMANİYE,Turkey",2019-04-04 13:16:04+00:00,-1
227,"OSMANİYE,Turkey",2019-04-09 09:07:01+00:00,3
228,"OSMANİYE,Turkey",2019-04-12 07:33:21+00:00,-1
229,"OSMANİYE,Turkey",2019-04-12 12:47:54+00:00,0
230,"OSMANİYE,Turkey",2019-04-15 08:53:41+00:00,1
231,"OSMANİYE,Turkey",2019-04-18 13:11:52+00:00,0
232,"OSMANİYE,Turkey",2019-04-25 10:38:02+00:00,2
233,"OSMANİYE,Turkey",2019-04-30 13:22:05+00:00,-1
234,"OSMANİYE,Turkey",2019-05-01 13:43:36+00:00,1
235,"OSMANİYE,Turkey",2019-05-01 14:00:28+00:00,1
236,"OSMANİYE,Turkey",2019-05-12 06:00:28+00:00,1
237,"OSMANİYE,Turkey",2019-05-16 06:48:35+00:00,2
238,"OSMANİYE,Turkey",2019-05-19 06:00:30+00:00,9
239,"OSMANİYE,Turkey",2019-05-20 07:00:58+00:00,2
240,"OSMANİYE,Turkey",2019-05-31 07:00:22+00:00,-1
241,"OSMANİYE,Turkey",2019-06-07 13:11:27+00:00,2
242,"OSMANİYE,Turkey",2019-06-12 07:00:56+00:00,1
243,"OSMANİYE,Turkey",2019-06-14 07:00:58+00:00,-1
244,"OSMANİYE,Turkey",2019-06-15 07:36:04+00:00,-1
245,"OSMANİYE,Turkey",2019-06-16 06:00:43+00:00,2
246,"OSMANİYE,Turkey",2019-06-18 06:46:51+00:00,-2
247,"OSMANİYE,Turkey",2019-06-20 07:24:30+00:00,1
248,"OSMANİYE,Turkey",2019-06-26 09:50:05+00:00,0
249,"OSMANİYE,Turkey",2019-06-28 07:09:27+00:00,1
250,"OSMANİYE,Turkey",2019-06-29 07:00:40+00:00,2
251,"OSMANİYE,Turkey",2019-07-01 08:42:41+00:00,1
252,"OSMANİYE,Turkey",2019-07-03 07:24:45+00:00,1
253,"OSMANİYE,Turkey",2019-07-05 08:46:41+00:00,2
254,"OSMANİYE,Turkey",2019-07-08 07:01:01+00:00,3
255,"OSMANİYE,Turkey",2019-07-11 07:00:55+00:00,-1
256,"OSMANİYE,Turkey",2019-07-16 06:59:23+00:00,1
257,"OSMANİYE,Turkey",2019-07-19 07:00:11+00:00,2
258,"OSMANİYE,Turkey",2019-07-23 07:09:02+00:00,1
259,"OSMANİYE,Turkey",2019-07-25 07:06:55+00:00,-1
260,"OSMANİYE,Turkey",2019-07-30 07:19:45+00:00,1
261,"OSMANİYE,Turkey",2019-08-06 12:03:00+00:00,2
262,"OSMANİYE,Turkey",2019-08-08 08:38:09+00:00,1
263,"OSMANİYE,Turkey",2019-08-09 07:04:10+00:00,1
264,"OSMANİYE,Turkey",2019-08-11 07:00:35+00:00,2
265,"OSMANİYE,Turkey",2019-08-13 07:00:56+00:00,1
266,"OSMANİYE,Turkey",2019-08-15 07:00:31+00:00,2
267,"OSMANİYE,Turkey",2019-08-17 07:00:43+00:00,3
268,"OSMANİYE,Turkey",2019-08-19 07:05:51+00:00,2
269,"OSMANİYE,Turkey",2019-08-21 06:53:31+00:00,0
270,"OSMANİYE,Turkey",2019-08-22 08:59:06+00:00,0
271,"OSMANİYE,Turkey",2019-08-23 08:02:06+00:00,1
272,"OSMANİYE,Turkey",2019-08-28 07:42:54+00:00,0
273,"OSMANİYE,Turkey",2019-08-30 06:00:19+00:00,1
274,"OSMANİYE,Turkey",2019-09-03 14:09:09+00:00,0
275,"OSMANİYE,Turkey",2019-09-05 07:29:24+00:00,-1
276,"OSMANİYE,Turkey",2019-09-16 06:58:27+00:00,2
277,"OSMANİYE,Turkey",2019-09-18 08:51:35+00:00,-1
278,"OSMANİYE,Turkey",2019-09-20 11:23:20+00:00,2
279,"OSMANİYE,Turkey",2019-09-23 07:06:25+00:00,0
280,"OSMANİYE,Turkey",2019-09-27 15:19:13+00:00,2
281,"OSMANİYE,Turkey",2019-09-30 09:04:36+00:00,1
282,"OSMANİYE,Turkey",2019-10-09 19:23:14+00:00,-1
283,"OSMANİYE,Turkey",2019-10-09 19:33:44+00:00,-2
284,"OSMANİYE,Turkey",2019-10-09 19:42:38+00:00,0
285,"OSMANİYE,Turkey",2019-10-11 10:21:35+00:00,1
286,"OSMANİYE,Turkey",2019-10-13 07:00:34+00:00,2
287,"OSMANİYE,Turkey",2019-10-15 07:00:52+00:00,1
288,"OSMANİYE,Turkey",2019-10-16 13:16:40+00:00,2
289,"OSMANİYE,Turkey",2019-10-17 07:00:59+00:00,2
290,"OSMANİYE,Turkey",2019-10-22 20:22:36+00:00,1
291,"OSMANİYE,Turkey",2019-10-29 06:00:27+00:00,1
292,"ŞIRNAK,Turkey",2019-11-24 06:00:24+00:00,2
293,"ŞIRNAK,Turkey",2019-12-02 16:08:37+00:00,1
294,"ŞIRNAK,Turkey",2019-12-22 13:45:44+00:00,2
295,"ŞIRNAK,Turkey",2019-12-24 07:00:17+00:00,3
296,"ŞIRNAK,Turkey",2019-12-30 22:04:07+00:00,1
297,"ŞIRNAK,Turkey",2020-01-06 07:00:30+00:00,2
298,"ŞIRNAK,Turkey",2020-01-08 07:00:30+00:00,0
299,"ŞIRNAK,Turkey",2020-01-10 07:00:17+00:00,-1
300,"ŞIRNAK,Turkey",2020-01-10 10:49:02+00:00,2
301,"ŞIRNAK,Turkey",2020-01-13 07:00:47+00:00,0
302,"ŞIRNAK,Turkey",2020-01-17 07:00:34+00:00,2
303,"ŞIRNAK,Turkey",2020-01-28 07:00:51+00:00,2
304,"ŞIRNAK,Turkey",2020-02-03 08:03:06+00:00,2
305,"ŞIRNAK,Turkey",2020-02-05 11:03:42+00:00,3
306,"ŞIRNAK,Turkey",2020-02-13 07:00:23+00:00,2
307,"ŞIRNAK,Turkey",2020-02-18 07:00:45+00:00,-2
308,"ŞIRNAK,Turkey",2020-02-20 07:00:22+00:00,2
309,"ŞIRNAK,Turkey",2020-02-24 07:00:36+00:00,1
310,"ŞIRNAK,Turkey",2020-02-26 07:31:04+00:00,0
311,"ŞIRNAK,Turkey",2020-02-28 07:00:40+00:00,2
312,"ŞIRNAK,Turkey",2020-02-29 01:24:21+00:00,-1
313,"ŞIRNAK,Turkey",2020-03-16 15:09:13+00:00,2
314,"ŞIRNAK,Turkey",2020-03-27 10:33:09+00:00,0
