||Erkek ve 0-4|Erkek ve 10-14|Erkek ve 15-19|Erkek ve 20-24|Erkek ve 25-29|Erkek ve 30-34|Erkek ve 35-39|Erkek ve 40-44|Erkek ve 45-49|Erkek ve 50-54|Erkek ve 55-59|Erkek ve 5-9|Erkek ve 60-64|Erkek ve 65-69|Erkek ve 70-74|Erkek ve 75-79|Erkek ve 80-84|Erkek ve 85-89|Erkek ve 90+|Kadın ve 0-4|Kadın ve 10-14|Kadın ve 15-19|Kadın ve 20-24|Kadın ve 25-29|Kadın ve 30-34|Kadın ve 35-39|Kadın ve 40-44|Kadın ve 45-49|Kadın ve 50-54|Kadın ve 55-59|Kadın ve 5-9|Kadın ve 60-64|Kadın ve 65-69|Kadın ve 70-74|Kadın ve 75-79|Kadın ve 80-84|Kadın ve 85-89|Kadın ve 90+|
|Bayburt-69|2798.0|2825.0|4004.0|5997.0|3265.0|2823.0|2647.0|2380.0|2171.0|2109.0|1743.0|2802.0|1697.0|1175.0|974.0|762.0|473.0|272.0|63.0|2820.0|2652.0|4020.0|4932.0|2810.0|2603.0|2336.0|2242.0|2070.0|2085.0|1703.0|2719.0|1751.0|1342.0|1119.0|998.0|566.0|475.0|194.0|
|Bilecik-11|7021.0|7019.0|8123.0|13938.0|9873.0|9443.0|9403.0|8047.0|7652.0|7054.0|6520.0|6878.0|5269.0|3671.0|2367.0|2017.0|1412.0|638.0|183.0|6763.0|6581.0|7629.0|8528.0|7506.0|7699.0|8119.0|7298.0|6945.0|6598.0|6209.0|6704.0|5120.0|4060.0|3146.0|2837.0|1952.0|1127.0|344.0|
|Bingöl-12|13532.0|12153.0|13136.0|15360.0|13652.0|10943.0|10662.0|8158.0|6856.0|6194.0|4478.0|12274.0|3751.0|2892.0|2052.0|1417.0|1036.0|441.0|195.0|12698.0|11933.0|12644.0|13135.0|12322.0|10032.0|10602.0|8207.0|6344.0|5845.0|4371.0|11934.0|4270.0|3423.0|2416.0|1798.0|1124.0|683.0|391.0|
|Bitlis-13|20717.0|19492.0|19889.0|17984.0|15981.0|12278.0|11647.0|8696.0|7597.0|6912.0|4888.0|19291.0|4054.0|2689.0|1886.0|1267.0|761.0|344.0|128.0|19262.0|18155.0|18996.0|16033.0|14748.0|10630.0|10692.0|8086.0|6204.0|5686.0|4226.0|18235.0|4511.0|3517.0|2330.0|1623.0|882.0|706.0|451.0|
|Bolu-14|9069.0|9355.0|11723.0|13572.0|11272.0|11013.0|11769.0|10780.0|9724.0|9044.0|8446.0|9463.0|7886.0|6106.0|4326.0|3229.0|2189.0|1019.0|398.0|8680.0|8811.0|11722.0|14414.0|10060.0|10308.0|11407.0|10497.0|9745.0|9361.0|8730.0|8856.0|8375.0|6936.0|5204.0|4330.0|2866.0|1839.0|660.0|
|Burdur-15|7540.0|8329.0|10420.0|13375.0|8893.0|8647.0|9273.0|9202.0|8781.0|8764.0|8291.0|7900.0|7310.0|5647.0|3971.0|3007.0|2193.0|1126.0|357.0|7259.0|7873.0|10385.0|10492.0|7488.0|7933.0|8895.0|8891.0|8543.0|8715.0|8569.0|7257.0|8155.0|6284.0|5226.0|4088.0|3083.0|1898.0|719.0|
|Bursa-16|111931.0|107170.0|109168.0|101243.0|110839.0|121725.0|130215.0|114881.0|102477.0|91972.0|79642.0|110888.0|65067.0|46638.0|28789.0|19714.0|11638.0|4886.0|1458.0|105915.0|101031.0|99483.0|102794.0|110884.0|119687.0|127820.0|112817.0|99841.0|91167.0|79742.0|104318.0|67957.0|50903.0|35856.0|26564.0|17146.0|9235.0|3302.0|
|Çanakkale-17|14466.0|14297.0|17255.0|27445.0|19097.0|18595.0|20461.0|19185.0|18333.0|18406.0|17699.0|14369.0|15781.0|12975.0|8486.0|6056.0|3892.0|1786.0|576.0|13526.0|13549.0|17368.0|19330.0|16021.0|17595.0|19755.0|18376.0|18188.0|18363.0|17941.0|13912.0|16239.0|13385.0|10000.0|7967.0|5433.0|3156.0|1153.0|
|Çankırı-18|5660.0|5798.0|6706.0|8307.0|6902.0|6338.0|6338.0|5683.0|5614.0|5943.0|5721.0|5946.0|5622.0|4329.0|3370.0|2615.0|1629.0|675.0|231.0|5494.0|5614.0|6681.0|7665.0|5796.0|5670.0|5886.0|5590.0|5431.0|6022.0|5612.0|5559.0|5885.0|4951.0|3848.0|3353.0|2089.0|1115.0|386.0|
|Çorum-19|17455.0|18751.0|20457.0|17952.0|16769.0|17712.0|19554.0|17987.0|16823.0|17039.0|15015.0|18415.0|14286.0|11666.0|8930.0|6356.0|4039.0|1934.0|465.0|16467.0|17774.0|19811.0|17940.0|16599.0|17492.0|19480.0|18034.0|16329.0|16811.0|15797.0|17356.0|15417.0|13601.0|10472.0|8064.0|5144.0|3071.0|1158.0|
|Denizli-20|35308.0|35984.0|39156.0|36899.0|35661.0|39125.0|43319.0|39488.0|36088.0|32793.0|28870.0|35211.0|23689.0|17760.0|11565.0|8159.0|5311.0|2462.0|695.0|33358.0|34029.0|37963.0|37703.0|34809.0|38504.0|42930.0|38327.0|34698.0|32412.0|29180.0|33314.0|24635.0|19443.0|14690.0|11086.0|7943.0|4616.0|1552.0|
|Diyarbakır-21|106426.0|91542.0|91269.0|78741.0|76138.0|64814.0|62405.0|46530.0|37518.0|32505.0|22165.0|96126.0|17681.0|12482.0|8665.0|6141.0|3795.0|1538.0|589.0|100773.0|87483.0|86783.0|75517.0|75538.0|62740.0|62257.0|46570.0|36160.0|30375.0|22734.0|91929.0|18039.0|15655.0|11247.0|8110.0|5623.0|3554.0|1744.0|
|Düzce-81|13700.0|13493.0|15831.0|15022.0|14393.0|14084.0|15537.0|14264.0|12356.0|11637.0|10445.0|13374.0|8906.0|6376.0|4026.0|2718.0|1710.0|791.0|192.0|12856.0|13142.0|15149.0|15826.0|13995.0|13898.0|14850.0|13311.0|12084.0|11535.0|10466.0|12912.0|9034.0|6748.0|4789.0|3693.0|2449.0|1475.0|543.0|
|Edirne-22|10495.0|10555.0|13471.0|21162.0|15350.0|14246.0|14941.0|14285.0|13799.0|14540.0|15078.0|10548.0|13256.0|9944.0|6041.0|4097.0|2825.0|1317.0|392.0|9966.0|10157.0|13734.0|15914.0|12592.0|13028.0|14108.0|13826.0|13628.0|14755.0|15133.0|9809.0|13385.0|10092.0|7194.0|5552.0|4395.0|2471.0|774.0|
|Elazığ-23|22573.0|22940.0|25725.0|28081.0|21723.0|21866.0|22093.0|19296.0|17456.0|16537.0|13748.0|23011.0|12057.0|8429.0|5845.0|4517.0|3163.0|1247.0|385.0|21203.0|21656.0|24380.0|24684.0|21186.0|21966.0|23087.0|20938.0|18088.0|17336.0|14428.0|21461.0|12958.0|9566.0|7123.0|5706.0|3589.0|2378.0|1246.0|
|Erzincan-24|8052.0|7592.0|10031.0|15852.0|9439.0|8289.0|8401.0|7666.0|6895.0|6450.0|5631.0|7738.0|5145.0|4075.0|2885.0|2064.0|1453.0|704.0|229.0|7646.0|7158.0|9583.0|11357.0|8558.0|7911.0|7930.0|7019.0|6394.0|6346.0|5530.0|7510.0|5305.0|4386.0|3572.0|2907.0|1753.0|1379.0|676.0|
|Erzurum-25|35303.0|34186.0|38552.0|37667.0|29770.0|27482.0|26637.0|23158.0|19998.0|18235.0|14517.0|33357.0|12714.0|9639.0|7451.0|5251.0|3357.0|1550.0|403.0|33562.0|33079.0|38674.0|39263.0|28868.0|26706.0|26621.0|22346.0|19000.0|17973.0|14683.0|31587.0|14156.0|11205.0|9164.0|6922.0|3726.0|2732.0|982.0|
