,Date,polarity
0,201701,-0.6153846153846154
1,201702,-0.1111111111111111
2,201703,-0.5
3,201704,-0.3333333333333333
4,201705,-0.07692307692307693
5,201706,-0.52
6,201707,0.08695652173913043
7,201708,0.18181818181818182
8,201709,-0.17391304347826086
9,201710,-0.47619047619047616
10,201711,-0.39473684210526316
11,201712,-0.5555555555555556
12,201801,0.0
13,201802,-0.7666666666666667
14,201803,-0.34615384615384615
15,201804,-0.08695652173913043
16,201805,-0.25
17,201806,-0.45
18,201807,-0.16129032258064516
19,201808,0.041666666666666664
20,201809,-0.3181818181818182
21,201810,-0.39473684210526316
22,201811,-0.10810810810810811
23,201812,-0.027777777777777776
24,201901,-0.28
25,201902,-0.23333333333333334
26,201903,-0.3684210526315789
27,201904,-0.13636363636363635
28,201905,-0.1111111111111111
29,201906,-0.30434782608695654
30,201907,-0.10526315789473684
31,201908,0.05
32,201909,0.0
33,201910,-0.34375
34,201911,-0.45454545454545453
35,201912,-0.16666666666666666
36,202001,-0.06666666666666667
37,202002,-0.48484848484848486
38,202003,-0.6190476190476191
39,202004,-0.38235294117647056
