Period,salgın
201701,1.0
201702,0.75
201703,1.0
201704,1.0
201705,0.75
201706,0.5
201707,1.0
201708,1.0
201709,1.25
201710,0.8
201711,1.0
201712,0.8
201801,0.75
201802,1.0
201803,0.75
201804,0.8
201805,0.5
201806,0.75
201807,1.0
201808,1.5
201809,1.2
201810,0.5
201811,0.75
201812,1.0
201901,1.25
201902,1.0
201903,0.6
201904,0.75
201905,0.75
201906,0.6
201907,1.0
201908,1.0
201909,1.8
201910,1.5
201911,1.0
201912,1.4
202001,6.75
202002,4.0
202003,51.2
202004,21.25
