month,monthly_retail_purchases_change,year,USD/TRY_Price,USD/TRY_Change %,USD/TRY_mov_Change%,EUR/TRY_Price,EUR/TRY_Change %,EUR/TRY_mov_Change%,EUR/USD_Price,EUR/USD_Change %,EUR/USD_mov_Change%,mw_USD,open_days_for_pharmacies,TÜFE (Yıllık % Değişim),TÜFE (Aylık % Değişim),Yıllık Değişim ÜFE,ÜFE (Aylık % Değişim),SelcukEcza_ADS,SelcukEcza_BDS,SelcukEcza_TPS,SelcukEcza_TAS,NetSales_mioTL
1,0.2556818181818182,2017,0.09075473299940573,0.36141038197845254,1.042088854,0.05704052879677657,0.47369668246445495,1.07739847,0.11984815618221312,0.8596491228070176,1.0338300440000001,0.6986297659380725,24.0,9.22,2.46,13.69,3.98,26,77,6399,2258,2675.29
2,0.26136363636363635,2017,0.055041457961909734,0.10920666013712049,0.9037023190000001,0.0,0.11469194312796208,0.862059547,0.0,0.16812865497076024,0.953934554,0.7695053392316047,22.0,10.13,0.81,15.36,1.26,26,77,6399,2258,2675.29
3,0.24431818181818182,2017,0.05164558394883556,0.1829089128305583,1.031140079,0.003923840623600849,0.25,1.060308407,0.040672451193057846,0.5716374269005847,1.028177642,0.7765009075878107,25.0,11.29,1.02,16.09,1.04,26,77,6399,2258,2675.29
4,0.3352272727272727,2017,0.02798766165775246,0.13467189030362392,0.980234775,0.003291812603692046,0.23933649289099526,0.995517482,0.17353579175704859,0.804093567251462,1.015787906,0.8265485444957488,22.5,11.87,1.31,16.37,0.76,27,76,6315,2258,2564.72
5,0.32954545454545453,2017,0.021026119930950493,0.1740940254652302,1.016479017,0.028599267900876857,0.2995260663507109,1.0254152490000001,0.3611713665943599,0.9327485380116959,1.0086021509999998,0.8417272681166765,23.0,11.72,0.45,15.26,0.52,27,76,6315,2258,2564.72
6,0.19318181818181818,2017,0.019384780824631354,0.18707149853085214,1.005336824,0.04360993337371277,0.27488151658767773,0.989851678,0.4604121475054228,0.706140350877193,0.984977709,0.8453368881652672,22.0,10.9,-0.27,14.87,0.07,27,76,6315,2258,2564.72
7,0.2556818181818182,2017,0.018847100772561354,0.1897649363369246,1.0011017629999999,0.08161061807073455,0.32582938388625593,1.021194795,0.6860086767895872,1.0,1.019777625,0.8465219373467123,23.0,9.79,0.15,15.45,0.72,27,77,6313,2305,2612.9
8,0.5284090909090909,2017,0.0,0.14471106758080315,0.981590795,0.06699497011034139,0.20924170616113744,0.952505068,0.7228850325379597,0.5511695906432748,0.9703782320000001,0.88888513630679,23.5,10.68,0.52,16.34,0.85,27,77,6313,2305,2612.9
9,0.0,2017,0.03141183462093544,0.26958863858961807,1.0519824690000001,0.09280278092328742,0.29715639810426536,1.037600081,0.6708242950108456,0.3494152046783625,0.986278214,0.8191594732072525,21.0,11.2,0.65,16.28,0.24,27,77,6313,2305,2612.9
10,0.4772727272727273,2017,0.0960183377196705,0.3479431929480902,1.031004748,0.14707818713296272,0.3568720379146919,1.024614182,0.5797180043383952,0.26023391812865493,0.993850187,0.6885826495889686,24.0,11.9,2.08,17.28,1.71,27,78,6537,2417,2833.42
