Period,Province,Product,Quantity,Month,Year
201701,CANAKKALE,PRODUCT_V,7,1,2017
201701,CANAKKALE,PRODUCT_X,176,1,2017
201701,DENİZLİ,PRODUCT_A,123,1,2017
201701,DENİZLİ,PRODUCT_B,1840,1,2017
201701,DENİZLİ,PRODUCT_C,671,1,2017
201701,DENİZLİ,PRODUCT_V,9,1,2017
201701,DENİZLİ,PRODUCT_X,343,1,2017
201701,DÜZCE,PRODUCT_A,28,1,2017
201701,DÜZCE,PRODUCT_B,213,1,2017
201701,DÜZCE,PRODUCT_C,334,1,2017
201701,DÜZCE,PRODUCT_V,2,1,2017
201701,DÜZCE,PRODUCT_X,65,1,2017
201701,DİYARBAKIR,PRODUCT_A,72,1,2017
201701,DİYARBAKIR,PRODUCT_B,785,1,2017
201701,DİYARBAKIR,PRODUCT_C,725,1,2017
201701,DİYARBAKIR,PRODUCT_V,0,1,2017
201701,DİYARBAKIR,PRODUCT_X,115,1,2017
201701,EDİRNE,PRODUCT_A,37,1,2017
201701,EDİRNE,PRODUCT_B,985,1,2017
201701,EDİRNE,PRODUCT_C,156,1,2017
201701,EDİRNE,PRODUCT_V,3,1,2017
201701,EDİRNE,PRODUCT_X,71,1,2017
201701,ELAZIĞ,PRODUCT_A,94,1,2017
201701,ELAZIĞ,PRODUCT_B,2375,1,2017
201701,ELAZIĞ,PRODUCT_C,303,1,2017
201701,ELAZIĞ,PRODUCT_V,2,1,2017
201701,ELAZIĞ,PRODUCT_X,65,1,2017
201701,ERZURUM,PRODUCT_A,3,1,2017
201701,ERZURUM,PRODUCT_B,2857,1,2017
201701,ERZURUM,PRODUCT_C,460,1,2017
201701,ERZURUM,PRODUCT_V,2,1,2017
201701,ERZURUM,PRODUCT_X,112,1,2017
201701,ERZİNCAN,PRODUCT_A,13,1,2017
201701,ERZİNCAN,PRODUCT_B,16,1,2017
201701,ERZİNCAN,PRODUCT_C,140,1,2017
201701,ERZİNCAN,PRODUCT_V,0,1,2017
201701,ERZİNCAN,PRODUCT_X,16,1,2017
201701,ESKİŞEHİR,PRODUCT_A,88,1,2017
201701,ESKİŞEHİR,PRODUCT_B,2967,1,2017
201701,ESKİŞEHİR,PRODUCT_C,447,1,2017
201701,ESKİŞEHİR,PRODUCT_V,34,1,2017
201701,ESKİŞEHİR,PRODUCT_X,198,1,2017
201701,GAZİANTEP,PRODUCT_A,280,1,2017
201701,GAZİANTEP,PRODUCT_B,1718,1,2017
201701,GAZİANTEP,PRODUCT_C,1069,1,2017
201701,GAZİANTEP,PRODUCT_V,7,1,2017
201701,GAZİANTEP,PRODUCT_X,1119,1,2017
201701,GÜMÜŞHANE,PRODUCT_A,7,1,2017
201701,GÜMÜŞHANE,PRODUCT_B,29,1,2017
201701,GÜMÜŞHANE,PRODUCT_C,47,1,2017
201701,GÜMÜŞHANE,PRODUCT_V,0,1,2017
201701,GÜMÜŞHANE,PRODUCT_X,37,1,2017
201701,GİRESUN,PRODUCT_A,122,1,2017
201701,GİRESUN,PRODUCT_B,132,1,2017
201701,GİRESUN,PRODUCT_C,90,1,2017
201701,GİRESUN,PRODUCT_V,0,1,2017
201701,GİRESUN,PRODUCT_X,89,1,2017
201701,HAKKARİ,PRODUCT_A,8,1,2017
201701,HAKKARİ,PRODUCT_B,32,1,2017
201701,HAKKARİ,PRODUCT_C,64,1,2017
201701,HAKKARİ,PRODUCT_V,0,1,2017
201701,HAKKARİ,PRODUCT_X,0,1,2017
201701,HATAY,PRODUCT_A,207,1,2017
201701,HATAY,PRODUCT_B,2742,1,2017
201701,HATAY,PRODUCT_C,583,1,2017
201701,HATAY,PRODUCT_V,0,1,2017
201701,HATAY,PRODUCT_X,399,1,2017
201701,ISPARTA,PRODUCT_A,17,1,2017
201701,ISPARTA,PRODUCT_B,586,1,2017
201701,ISPARTA,PRODUCT_C,286,1,2017
201701,ISPARTA,PRODUCT_V,0,1,2017
201701,ISPARTA,PRODUCT_X,162,1,2017
201701,ISTANBUL,PRODUCT_A,3506,1,2017
201701,ISTANBUL,PRODUCT_B,32867,1,2017
201701,ISTANBUL,PRODUCT_C,16318,1,2017
201701,ISTANBUL,PRODUCT_V,1794,1,2017
201701,ISTANBUL,PRODUCT_X,2701,1,2017
201701,IĞDIR,PRODUCT_A,-3,1,2017
201701,IĞDIR,PRODUCT_B,726,1,2017
201701,IĞDIR,PRODUCT_C,219,1,2017
201701,IĞDIR,PRODUCT_V,0,1,2017
201701,IĞDIR,PRODUCT_X,45,1,2017
201701,KAHRAMANMARAŞ,PRODUCT_A,31,1,2017
201701,KAHRAMANMARAŞ,PRODUCT_B,628,1,2017
201701,KAHRAMANMARAŞ,PRODUCT_C,471,1,2017
201701,KAHRAMANMARAŞ,PRODUCT_V,2,1,2017
201701,KAHRAMANMARAŞ,PRODUCT_X,399,1,2017
201701,KARABÜK,PRODUCT_A,26,1,2017
201701,KARABÜK,PRODUCT_B,1749,1,2017
201701,KARABÜK,PRODUCT_C,89,1,2017
201701,KARABÜK,PRODUCT_V,0,1,2017
201701,KARABÜK,PRODUCT_X,35,1,2017
201701,KARAMAN,PRODUCT_A,30,1,2017
201701,KARAMAN,PRODUCT_B,515,1,2017
201701,KARAMAN,PRODUCT_C,108,1,2017
201701,KARAMAN,PRODUCT_V,3,1,2017
201701,KARAMAN,PRODUCT_X,14,1,2017
201701,KARS,PRODUCT_A,6,1,2017
201701,KARS,PRODUCT_B,52,1,2017
201701,KARS,PRODUCT_C,86,1,2017
201701,KARS,PRODUCT_V,3,1,2017
201701,KARS,PRODUCT_X,9,1,2017
201701,KASTAMONU,PRODUCT_A,37,1,2017
201701,KASTAMONU,PRODUCT_B,395,1,2017
201701,KASTAMONU,PRODUCT_C,244,1,2017
